FilenamePrefix,seg_norm,row_count,source,case_id
BCBM-RadioGenomics-155-4,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-4,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-5,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-5,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-6,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-6,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-7,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-7,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-8,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-8,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-9,mask_plan1_tgta_220gy80,2,radiomics,
BCBM-RadioGenomics-155-9,mask_plan1_tgtb_220gy80,2,radiomics,
BCBM-RadioGenomics-155-4,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-4,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-5,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-5,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-6,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-6,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-7,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-7,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-8,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-8,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-9,mask_plan1_tgta_220gy80,2,mapping_before_dedup,
BCBM-RadioGenomics-155-9,mask_plan1_tgtb_220gy80,2,mapping_before_dedup,
