target,target_display,feature_set_variant,n_patients,cross_fitted_auroc,boot_ci_lo,boot_ci_hi,n_bootstrap
ER_bin,ER,radiomics_pure,119,0.4697569248162804,0.3701014964290554,0.5792260991143572,2000
ER_bin,ER,all_features,119,0.4804974561899378,0.3770302412903955,0.584895061951378,2000
PR_bin,PR,radiomics_pure,116,0.5967105263157895,0.4811605061605062,0.7125337159253945,2000
PR_bin,PR,all_features,116,0.5779605263157894,0.4627506361881361,0.6979914316716204,2000
HER2_bin,HER2,radiomics_pure,115,0.4690909090909091,0.3659143410732394,0.5776582692012416,2000
HER2_bin,HER2,all_features,115,0.5093939393939394,0.4073770581113801,0.620882257012394,2000
ER_bin,ER,acquisition_only,117,0.4687317358270017,0.3646864695398691,0.5763088512241052,2000
ER_bin,ER,radiomics_plus_burden,117,0.4970777323202805,0.3962224894762237,0.6111119300314466,2000
PR_bin,PR,acquisition_only,114,0.541554054054054,0.4215371933130036,0.6553970588235293,2000
PR_bin,PR,radiomics_plus_burden,114,0.5533783783783783,0.4393129114568532,0.6640946922196922,2000
HER2_bin,HER2,acquisition_only,113,0.4538606403013182,0.3458868879472693,0.5615208501479687,2000
HER2_bin,HER2,radiomics_plus_burden,113,0.507532956685499,0.3948683934830413,0.6149777399252484,2000
