target,target_display,feature_set_variant,n_patients,cross_fitted_auroc,boot_ci_lo,boot_ci_hi,n_bootstrap
ER_bin,ER,radiomics_pure,119,0.4276427360090447,0.3258903335217637,0.5313758806235891,2000
ER_bin,ER,all_features,119,0.4005087620124364,0.2973788381233112,0.502296776984642,2000
PR_bin,PR,radiomics_pure,116,0.4414473684210526,0.3328724972712314,0.5541890316067946,2000
PR_bin,PR,all_features,116,0.4180921052631579,0.3102644361266998,0.5358400377693134,2000
HER2_bin,HER2,radiomics_pure,115,0.5766666666666667,0.4761576876513317,0.6777488382652715,2000
HER2_bin,HER2,all_features,115,0.5542424242424242,0.4543402127896613,0.6657559612518629,2000
ER_bin,ER,acquisition_only,119,0.5565291124929339,0.4492454252758197,0.6559995844928879,2000
ER_bin,ER,radiomics_plus_burden,119,0.4010740531373657,0.3039449655555662,0.5078565512325802,2000
PR_bin,PR,acquisition_only,116,0.5092105263157896,0.3977629885524622,0.6229166666666667,2000
PR_bin,PR,radiomics_plus_burden,116,0.4361842105263157,0.3339912280701754,0.540830327714474,2000
HER2_bin,HER2,acquisition_only,115,0.5412121212121213,0.4346731601731601,0.6519399258248708,2000
HER2_bin,HER2,radiomics_plus_burden,115,0.5636363636363637,0.4534859085534096,0.6706138295523542,2000
