target,target_display,feature_set_variant,repeat,n_trainval,n_features,mean_fold_auroc,pooled_oof_auroc,modal_winner
ER_bin,ER,radiomics_pure,0,119,107,0.5092511655011656,0.5159694742792539,lgbm
ER_bin,ER,radiomics_pure,1,119,107,0.4587218337218338,0.4785189372526852,lgbm
ER_bin,ER,radiomics_pure,2,119,107,0.4550650738150738,0.48855285472018084,xgb
ER_bin,ER,radiomics_pure,3,119,107,0.5392045454545455,0.534624081401922,xgb
ER_bin,ER,radiomics_pure,4,119,107,0.5125679875679875,0.5124364047484454,xgb
ER_bin,ER,radiomics_pure,5,119,107,0.48121114996114994,0.4984454494064443,xgb
ER_bin,ER,radiomics_pure,6,119,107,0.5298659673659674,0.5069248162803844,lgbm
ER_bin,ER,radiomics_pure,7,119,107,0.425,0.46226681741096665,svm_linear
ER_bin,ER,radiomics_pure,8,119,107,0.4528263403263403,0.47117015262860373,xgb
ER_bin,ER,radiomics_pure,9,119,107,0.5284382284382284,0.48954211418880733,extra_trees
PR_bin,PR,radiomics_pure,0,116,107,0.5168229166666667,0.5,pls_logistic
PR_bin,PR,radiomics_pure,1,116,107,0.5077083333333333,0.4713815789473684,extra_trees
PR_bin,PR,radiomics_pure,2,116,107,0.4492708333333334,0.4486842105263158,extra_trees
PR_bin,PR,radiomics_pure,3,116,107,0.5549999999999999,0.49967105263157896,pls_logistic
PR_bin,PR,radiomics_pure,4,116,107,0.53453125,0.5194078947368421,lgbm
PR_bin,PR,radiomics_pure,5,116,107,0.5254166666666668,0.5417763157894737,elastic_net_sparse
PR_bin,PR,radiomics_pure,6,116,107,0.4448958333333334,0.4572368421052632,lgbm_strong
PR_bin,PR,radiomics_pure,7,116,107,0.5642708333333334,0.5427631578947368,pls_logistic
PR_bin,PR,radiomics_pure,8,116,107,0.5584374999999999,0.5226973684210526,svm_linear
PR_bin,PR,radiomics_pure,9,116,107,0.5101041666666667,0.48075657894736845,elastic_net_strong
HER2_bin,HER2,radiomics_pure,0,115,107,0.559090909090909,0.5451515151515152,svm_linear
HER2_bin,HER2,radiomics_pure,1,115,107,0.5666666666666667,0.5509090909090909,extra_trees
HER2_bin,HER2,radiomics_pure,2,115,107,0.5303030303030303,0.5003030303030304,extra_trees
HER2_bin,HER2,radiomics_pure,3,115,107,0.5765151515151514,0.5762121212121213,xgb
HER2_bin,HER2,radiomics_pure,4,115,107,0.46515151515151515,0.5039393939393939,elastic_net_strong
HER2_bin,HER2,radiomics_pure,5,115,107,0.6136363636363636,0.5715151515151515,elastic_net_strong
HER2_bin,HER2,radiomics_pure,6,115,107,0.6022727272727273,0.5671212121212121,xgb
HER2_bin,HER2,radiomics_pure,7,115,107,0.6060606060606061,0.5872727272727273,extra_trees
HER2_bin,HER2,radiomics_pure,8,115,107,0.512121212121212,0.5381818181818182,xgb
HER2_bin,HER2,radiomics_pure,9,115,107,0.603030303030303,0.5657575757575757,extra_trees
