target_display,feature_set_variant,mean,sd,pct2_5,pct97_5,min,max,n_repeats
ER,all_features,0.4534042346542346,0.0512228317386708,0.3881474601787102,0.51621891996892,0.3842171717171717,0.5184391996891997,10
ER,radiomics_pure,0.4557706876456876,0.0506025647561287,0.3892403603341103,0.518026418026418,0.3835858585858586,0.5184634809634809,10
HER2,all_features,0.5291666666666666,0.0371585567667208,0.4670643939393939,0.577121212121212,0.4621212121212121,0.5825757575757575,10
HER2,radiomics_pure,0.5479545454545455,0.0397132391417045,0.4985984848484848,0.6122537878787879,0.4962121212121212,0.6219696969696971,10
PR,all_features,0.4676666666666667,0.0478475611280531,0.4093151041666666,0.5420625,0.4076041666666666,0.545625,10
PR,radiomics_pure,0.4836718749999999,0.0518929869553539,0.4301927083333333,0.5627812499999999,0.4295833333333332,0.5643749999999998,10
ER,acquisition_only,0.5619031662781662,0.0222499920785363,0.5318258304195803,0.5866663024475525,0.531555944055944,0.5883304195804195,10
ER,radiomics_plus_burden,0.4692730186480187,0.0545003807671306,0.3838801476301476,0.5386448620823621,0.3816336441336441,0.5393987956487957,10
HER2,acquisition_only,0.574090909090909,0.0214892906654632,0.5291098484848484,0.5886363636363636,0.5234848484848484,0.5886363636363636,10
HER2,radiomics_plus_burden,0.54,0.0276692093196213,0.4990909090909091,0.5843371212121212,0.4909090909090909,0.5848484848484848,10
PR,acquisition_only,0.50940625,0.0339197655047635,0.46193359375,0.5511666666666666,0.4609375,0.5541666666666666,10
PR,radiomics_plus_burden,0.4897812499999999,0.0515348129930776,0.43409375,0.5762734375,0.430625,0.5856250000000001,10
