target,target_display,scenario,feature_set_variant,model,model_display,selection_method,threshold_method,threshold,n_trainval,n_test,n_input_features,n_selected_features,nested_cv_auroc_mean,nested_cv_auroc_std,nested_cv_n_outer_folds,combat_harmonization_applied,stability_selection_max_features,max_missing_ratio,train_positive_rate,test_positive_rate,AUROC,AUPRC,F1,Balanced_Acc,Precision,Recall_Sensitivity,Specificity,TN,FP,FN,TP,validation_AUROC_at_selection,generalization_gap_AUROC,generalization_gap,auroc_bootstrap_ci95_lower,auroc_bootstrap_ci95_upper,auroc_bootstrap_n
target_er,ER,nested_cv_leakage_safe,acquisition_only,extra_trees,Extra Trees,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5315884527406957,119,16,21,5,0.5555604118104117,0.05662576497623092,5,False,20,0.4,0.48739495798319327,0.4375,0.5714285714285714,0.4761904761904762,0.36363636363636365,0.5317460317460317,0.5,0.2857142857142857,0.7777777777777778,7,2,5,2,0.5555604118104117,-0.0159,-0.0159,0.33333333333333337,0.8091017316017316,1000
target_er,ER,nested_cv_leakage_safe,all_features,lgbm,LightGBM,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5951486148830945,119,16,742,5,0.5184391996891997,0.07037451170864634,5,True,20,0.4,0.48739495798319327,0.4375,0.5238095238095238,0.6111721611721612,0.0,0.5,0.0,0.0,1.0,9,0,7,0,0.5184391996891997,-0.0054,-0.0054,0.1744047619047619,0.8282552083333332,1000
target_er,ER,nested_cv_leakage_safe,radiomics_plus_burden,lgbm,LightGBM,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5175953794450723,119,16,721,5,0.5393987956487957,0.07206889281744447,5,True,20,0.4,0.48739495798319327,0.4375,0.6984126984126984,0.7365079365079366,0.4444444444444444,0.6428571428571428,1.0,0.2857142857142857,1.0,9,0,5,2,0.5393987956487957,-0.159,-0.159,0.38333333333333336,0.95,1000
target_er,ER,nested_cv_leakage_safe,radiomics_pure,elastic_net_strong,Elastic Net (Strong),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5173866437457662,119,16,642,5,0.4780351592851592,0.09929787926994028,5,True,20,0.4,0.48739495798319327,0.4375,0.6031746031746033,0.5732735518449804,0.2222222222222222,0.5158730158730158,0.5,0.14285714285714285,0.8888888888888888,8,1,6,1,0.4780351592851592,-0.1251,-0.1251,0.30000000000000004,0.8906321022727273,1000
target_her2,HER2,nested_cv_leakage_safe,acquisition_only,extra_trees,Extra Trees,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.513281160457897,115,17,21,5,0.5833333333333333,0.04410886856972618,5,False,20,0.4,0.5217391304347826,0.5294117647058824,0.7777777777777778,0.7908496732026145,0.7142857142857143,0.7777777777777778,1.0,0.5555555555555556,1.0,8,0,4,5,0.5833333333333333,-0.1944,-0.1944,0.6111111111111112,0.9444444444444444,1000
target_her2,HER2,nested_cv_leakage_safe,all_features,xgb,XGBoost,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.4928033931401219,115,17,742,5,0.4833333333333334,0.038747611674377014,5,True,20,0.4,0.5217391304347826,0.5294117647058824,0.41666666666666663,0.49853011911835443,0.4444444444444444,0.4097222222222222,0.4444444444444444,0.4444444444444444,0.375,3,5,5,4,0.4833333333333334,0.0667,0.0667,0.12838744588744588,0.7142857142857143,1000
target_her2,HER2,nested_cv_leakage_safe,radiomics_plus_burden,xgb,XGBoost,nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.4213786721229553,115,17,721,5,0.4924242424242425,0.061312174455449425,5,True,20,0.4,0.5217391304347826,0.5294117647058824,0.5555555555555556,0.7020574559790246,0.64,0.4444444444444444,0.5,0.8888888888888888,0.0,0,8,1,8,0.4924242424242425,-0.0631,-0.0631,0.24242424242424243,0.8472537878787878,1000
target_her2,HER2,nested_cv_leakage_safe,radiomics_pure,elastic_net_strong,Elastic Net (Strong),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5199372109702738,115,17,642,6,0.49696969696969695,0.06840871337860188,5,True,20,0.4,0.5217391304347826,0.5294117647058824,0.5,0.570501258001258,0.4,0.47916666666666663,0.5,0.3333333333333333,0.625,5,3,6,3,0.49696969696969695,-0.003,-0.003,0.19696969696969696,0.8033116883116881,1000
target_pr,PR,nested_cv_leakage_safe,acquisition_only,svm_linear,Linear SVM (Calibrated),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.13880827236342622,116,16,21,5,0.4710416666666667,0.07597856971248904,5,False,20,0.4,0.3448275862068966,0.3125,0.5,0.31666666666666665,0.47619047619047616,0.5,0.3125,1.0,0.0,0,11,0,5,0.4710416666666667,-0.029,-0.029,0.2777777777777778,0.7399088541666666,996
target_pr,PR,nested_cv_leakage_safe,all_features,elastic_net_sparse,Elastic Net (Sparse),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5150872685519547,116,16,742,5,0.4593229166666667,0.11746938320082956,5,True,20,0.4,0.3448275862068966,0.3125,0.6181818181818183,0.5657142857142856,0.2857142857142857,0.5545454545454546,0.5,0.2,0.9090909090909091,10,1,4,1,0.4593229166666667,-0.1589,-0.1589,0.2142857142857143,0.96484375,996
target_pr,PR,nested_cv_leakage_safe,radiomics_plus_burden,elastic_net_sparse,Elastic Net (Sparse),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.5150872685519547,116,16,721,5,0.45015625000000004,0.12764089607447315,5,True,20,0.4,0.3448275862068966,0.3125,0.6181818181818183,0.5657142857142856,0.2857142857142857,0.5545454545454546,0.5,0.2,0.9090909090909091,10,1,4,1,0.45015625000000004,-0.168,-0.168,0.2142857142857143,0.96484375,996
target_pr,PR,nested_cv_leakage_safe,radiomics_pure,elastic_net_sparse,Elastic Net (Sparse),nested_cv_inner_auroc_majority_vote_tiebreak_mean_inner,youden_index_oof,0.667306263409721,116,16,642,5,0.4406770833333333,0.11545882390428681,5,True,20,0.4,0.3448275862068966,0.3125,0.6181818181818183,0.5657142857142856,0.0,0.5,0.0,0.0,1.0,11,0,5,0,0.4406770833333333,-0.1775,-0.1775,0.2142857142857143,0.96484375,996
