feature,importance,importance_std,importance_type
n_cases_patient,0.06736111111111104,0.05994387163767104,permutation_roc_auc_locked_test
patient_original_glrlm_graylevelnonuniformity_mean,0.022222222222222143,0.11140585905641932,permutation_roc_auc_locked_test
patient_meta_final_resolution_confidence_n_unique,0.008333333333333293,0.011111111111111094,permutation_roc_auc_locked_test
mean_lesion_volume_cc,0.0041666666666666016,0.0201747764532416,permutation_roc_auc_locked_test
volume_entropy_patient,0.0,0.0,permutation_roc_auc_locked_test
count_cat_lesion,0.0,0.0,permutation_roc_auc_locked_test
cv_lesion_volume_cc,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_sphericity_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_cv,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_iqr,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_max,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacearea_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_surfacevolumeratio_cv,0.0,0.0,permutation_roc_auc_locked_test
global_radiomics_cv_mean,0.0,0.0,permutation_roc_auc_locked_test
global_radiomics_cv_max,0.0,0.0,permutation_roc_auc_locked_test
entropy_mask_descriptor_canonical_patient,0.0,0.0,permutation_roc_auc_locked_test
n_unique_magnetic_field_strength_label_patient,0.0,0.0,permutation_roc_auc_locked_test
n_unique_mask_descriptor_canonical_patient,0.0,0.0,permutation_roc_auc_locked_test
n_unique_pixel_spacing_patient,0.0,0.0,permutation_roc_auc_locked_test
n_unique_segmentation_name_patient,0.0,0.0,permutation_roc_auc_locked_test
n_unique_segmentation_names_patient,0.0,0.0,permutation_roc_auc_locked_test
n_visits_patient,0.0,0.0,permutation_roc_auc_locked_test
pairwise_euclidean_max,0.0,0.0,permutation_roc_auc_locked_test
pairwise_euclidean_mean,0.0,0.0,permutation_roc_auc_locked_test
pairwise_euclidean_std,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_age_max,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_age_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_age_min,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_age_std,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_minoraxislength_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_minoraxislength_min,0.0,0.0,permutation_roc_auc_locked_test
patient_original_shape_minoraxislength_std,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_0_std,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_1_max,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_1_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_1_min,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_1_std,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_2_max,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_2_mean,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_2_min,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_bbox_dim_2_std,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_final_resolution_source_n_unique,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_gender_n_unique,0.0,0.0,permutation_roc_auc_locked_test
patient_meta_initial_mask_category_n_unique,0.0,0.0,permutation_roc_auc_locked_test
