epoch,train_loss,valid_auroc,valid_composite
1,0.735,0.5889,0.6039
2,0.71,0.5778,0.5644
3,0.7139,0.6111,0.5994
4,0.697,0.5889,0.5756
5,0.702,0.6333,0.605
6,0.6883,0.6111,0.5744
7,0.6926,0.6111,0.6028
8,0.6558,0.5667,0.57
9,0.6539,0.5556,0.5339
10,0.6429,0.5,0.5217
11,0.6236,0.5222,0.4922
12,0.5863,0.5444,0.5528
13,0.6296,0.5222,0.5372
14,0.5439,0.5778,0.5761
15,0.568,0.5333,0.53
16,0.5071,0.6,0.59
17,0.5538,0.6,0.6067
18,0.4911,0.7111,0.7028
19,0.4728,0.7,0.6617
20,0.484,0.6889,0.6539
21,0.4712,0.6333,0.6183
22,0.4629,0.6222,0.5922
23,0.3699,0.6889,0.6556
24,0.4123,0.6889,0.6706
25,0.3598,0.6778,0.6478
26,0.388,0.7111,0.6861
27,0.3469,0.7,0.6783
28,0.348,0.7,0.6783
29,0.3057,0.6778,0.6628
30,0.3477,0.6667,0.64
31,0.3088,0.6556,0.6339
32,0.3299,0.6333,0.6333
33,0.2545,0.6333,0.6167
34,0.2682,0.6333,0.6167
35,0.2624,0.5889,0.5856
36,0.223,0.6444,0.6244
37,0.2401,0.6667,0.64
38,0.2025,0.7,0.6633
39,0.2324,0.7556,0.7022
40,0.1996,0.7333,0.67
41,0.2283,0.7444,0.7278
42,0.2197,0.7889,0.7406
43,0.2061,0.7111,0.6711
44,0.1938,0.7,0.6633
45,0.1303,0.7222,0.6939
46,0.1381,0.7667,0.71
47,0.1002,0.7444,0.7111
48,0.2035,0.7333,0.7033
49,0.1464,0.7333,0.7183
50,0.1754,0.7444,0.7111
51,0.119,0.7444,0.7111
52,0.1177,0.7222,0.6956
53,0.1104,0.7222,0.6939
54,0.1001,0.7,0.6633
55,0.0798,0.6778,0.6628
56,0.167,0.6889,0.6722
57,0.1874,0.6889,0.6572
58,0.2448,0.7222,0.6956
59,0.1352,0.6667,0.6567
60,0.0681,0.6444,0.6244
61,0.0603,0.6778,0.6478
62,0.0672,0.6778,0.6478
63,0.072,0.6667,0.64
64,0.1012,0.6778,0.6478
65,0.036,0.6333,0.6167
66,0.1156,0.6556,0.6156
67,0.0373,0.6778,0.6478
68,0.0691,0.6556,0.6322
69,0.034,0.6222,0.6089
70,0.0781,0.5444,0.5544
71,0.0745,0.5667,0.57
72,0.0576,0.6444,0.6244
73,0.0669,0.6889,0.6889
74,0.1129,0.6889,0.6722
75,0.0442,0.6889,0.6872
76,0.0736,0.6778,0.6644
77,0.0788,0.6556,0.6639
