epoch,train_loss,valid_auroc,valid_composite
1,0.7216,0.5889,0.5872
2,0.7088,0.6,0.61
3,0.719,0.6222,0.6072
4,0.691,0.6,0.5667
5,0.6814,0.5667,0.5433
6,0.6781,0.5444,0.5278
7,0.6815,0.5333,0.5317
8,0.6386,0.5111,0.4994
9,0.6035,0.5,0.4917
10,0.594,0.4889,0.5139
11,0.5924,0.5222,0.5072
12,0.5076,0.5667,0.5517
13,0.5658,0.5778,0.5594
14,0.4764,0.6,0.56
15,0.4762,0.5556,0.5139
16,0.4725,0.5111,0.5128
17,0.4885,0.5667,0.57
18,0.4389,0.6667,0.64
19,0.4061,0.6222,0.6239
20,0.3935,0.6556,0.6472
21,0.4048,0.6222,0.6089
22,0.3373,0.6333,0.6317
23,0.281,0.6556,0.6472
24,0.3452,0.6889,0.6706
25,0.2936,0.6778,0.6628
26,0.3476,0.6889,0.6706
27,0.3173,0.7111,0.7044
28,0.2676,0.7333,0.7183
29,0.2394,0.7333,0.7017
30,0.304,0.7333,0.7017
31,0.2416,0.6889,0.6722
32,0.2026,0.6889,0.6556
33,0.2215,0.6556,0.6322
34,0.1719,0.6111,0.6011
35,0.1711,0.6333,0.6017
36,0.2624,0.7,0.6967
37,0.2345,0.7111,0.6694
38,0.1883,0.6556,0.6506
39,0.2068,0.6333,0.6183
40,0.1603,0.6556,0.6472
41,0.1959,0.6667,0.64
42,0.1766,0.6556,0.6322
43,0.1179,0.6333,0.6167
44,0.0813,0.6222,0.6089
45,0.1247,0.6,0.5933
46,0.0721,0.6111,0.6011
47,0.1177,0.6667,0.6567
48,0.125,0.6556,0.6489
49,0.0546,0.6889,0.6872
50,0.1506,0.6889,0.6722
51,0.0932,0.6444,0.6411
52,0.0979,0.6222,0.6256
53,0.1121,0.6222,0.6256
54,0.0658,0.6444,0.6244
55,0.0493,0.6,0.5917
56,0.0863,0.6,0.61
57,0.0762,0.6333,0.6167
58,0.1221,0.6556,0.6322
59,0.1338,0.6556,0.6322
60,0.0396,0.6556,0.6322
61,0.0417,0.6222,0.6256
62,0.0598,0.6222,0.5922
63,0.0284,0.6333,0.5833
