epoch,train_loss,valid_auroc,valid_composite
1,0.6815,0.5657,0.5551
2,0.6765,0.5758,0.5879
3,0.6614,0.5253,0.5525
4,0.6592,0.5152,0.5091
5,0.6462,0.5657,0.5551
6,0.6487,0.5556,0.5646
7,0.6372,0.5455,0.547
8,0.6276,0.5253,0.5434
9,0.6075,0.4848,0.4985
10,0.5833,0.4444,0.4702
11,0.5627,0.4141,0.4354
12,0.5574,0.404,0.4253
13,0.5253,0.4141,0.449
14,0.5281,0.4343,0.4631
15,0.5193,0.4747,0.4914
16,0.467,0.4949,0.4889
17,0.4455,0.5152,0.5061
18,0.4352,0.4747,0.4944
19,0.4182,0.4848,0.4848
20,0.4729,0.4646,0.4707
21,0.3879,0.404,0.4283
22,0.3423,0.4646,0.4677
23,0.3112,0.4848,0.4985
24,0.3095,0.4949,0.5222
25,0.3217,0.4949,0.5222
26,0.2978,0.4848,0.5182
27,0.2681,0.4949,0.4919
28,0.3471,0.4747,0.5111
29,0.2431,0.5152,0.5061
30,0.2666,0.5152,0.5561
31,0.2766,0.5253,0.5268
32,0.2868,0.5354,0.5672
33,0.3535,0.5152,0.553
34,0.2397,0.4848,0.5152
35,0.2557,0.5152,0.553
36,0.2907,0.5556,0.5677
37,0.2049,0.5758,0.5985
38,0.2272,0.5556,0.5813
39,0.2183,0.5253,0.5434
40,0.2487,0.4545,0.4667
41,0.1756,0.4646,0.4737
42,0.1627,0.4545,0.4667
43,0.1644,0.5354,0.5338
44,0.2063,0.5253,0.5434
45,0.1178,0.4545,0.45
46,0.1683,0.4747,0.4914
47,0.18,0.4646,0.4707
48,0.1564,0.5152,0.5227
49,0.1043,0.5253,0.5434
50,0.1235,0.4949,0.5222
51,0.2192,0.5354,0.5232
52,0.1524,0.4747,0.4944
53,0.1428,0.5051,0.5157
54,0.0956,0.4747,0.4944
55,0.1027,0.5455,0.5909
56,0.2507,0.5758,0.5955
57,0.1562,0.596,0.6096
58,0.0822,0.5657,0.5747
59,0.1121,0.5253,0.5328
60,0.0546,0.4747,0.4975
61,0.1034,0.4747,0.5111
62,0.0663,0.4646,0.4874
63,0.0929,0.4747,0.5111
64,0.0793,0.4848,0.5182
65,0.075,0.5354,0.5399
66,0.0869,0.5354,0.5263
67,0.0918,0.5354,0.5263
68,0.0972,0.5354,0.5535
69,0.0767,0.5152,0.553
70,0.0819,0.5051,0.5187
71,0.0322,0.4949,0.5116
72,0.1335,0.4848,0.4909
73,0.0941,0.4545,0.4803
74,0.1125,0.4343,0.4828
75,0.019,0.4343,0.4828
76,0.1074,0.4444,0.4899
77,0.0516,0.4242,0.4758
78,0.1091,0.4343,0.4828
79,0.0606,0.4444,0.4899
80,0.0695,0.4848,0.5045
81,0.0522,0.4747,0.4975
82,0.0837,0.4545,0.4833
83,0.0814,0.4646,0.504
84,0.1144,0.4545,0.4803
85,0.069,0.4646,0.504
86,0.0654,0.4646,0.4904
87,0.0849,0.4747,0.4975
88,0.0408,0.4949,0.498
89,0.0792,0.4848,0.5045
90,0.0208,0.4747,0.4975
91,0.045,0.4949,0.5116
92,0.0656,0.4646,0.4768
