epoch,train_loss,valid_auroc,valid_composite
1,0.6811,0.5859,0.5692
2,0.6667,0.596,0.5687
3,0.655,0.5758,0.5515
4,0.6479,0.5455,0.5576
5,0.6347,0.5253,0.5101
6,0.6243,0.5152,0.5364
7,0.6092,0.5253,0.5298
8,0.586,0.5354,0.5535
9,0.5642,0.4848,0.4818
10,0.5368,0.4545,0.4773
11,0.4935,0.4646,0.4874
12,0.5074,0.4747,0.4747
13,0.4669,0.5152,0.503
14,0.4582,0.5354,0.5369
15,0.458,0.5354,0.5338
16,0.394,0.5152,0.503
17,0.4362,0.5354,0.5202
18,0.3899,0.4949,0.4783
19,0.3702,0.4949,0.4919
20,0.4125,0.5354,0.5369
21,0.3283,0.5455,0.5439
22,0.2843,0.5657,0.5384
23,0.2925,0.5455,0.5773
24,0.3098,0.5556,0.5843
25,0.255,0.5455,0.5409
26,0.2505,0.5556,0.5843
27,0.2365,0.5253,0.5631
28,0.2951,0.5152,0.5364
29,0.1968,0.5152,0.503
30,0.2294,0.4545,0.4697
31,0.1834,0.4545,0.4803
32,0.1922,0.5354,0.5505
33,0.2203,0.5253,0.5162
34,0.1657,0.4747,0.4838
35,0.1549,0.5152,0.5091
36,0.2014,0.4646,0.4737
37,0.1435,0.4646,0.4904
38,0.1351,0.5152,0.5258
39,0.1196,0.4848,0.5045
40,0.161,0.404,0.4343
41,0.1105,0.3939,0.4273
42,0.1078,0.4444,0.4626
43,0.0992,0.4242,0.4621
44,0.1283,0.4848,0.4848
45,0.1223,0.4747,0.4778
46,0.0839,0.4747,0.4975
47,0.1541,0.404,0.4313
48,0.0402,0.3838,0.4035
49,0.108,0.3737,0.3965
50,0.1047,0.4141,0.3884
51,0.2032,0.4343,0.4359
52,0.054,0.3939,0.4106
53,0.1189,0.3434,0.3722
54,0.0335,0.404,0.4313
55,0.1254,0.4343,0.4525
56,0.0711,0.4545,0.4333
57,0.0711,0.4646,0.4571
58,0.0397,0.4646,0.4874
59,0.0187,0.4747,0.4944
