epoch,train_loss,valid_auroc,valid_composite
1,0.9153,0.641,0.6526
2,0.8752,0.6538,0.6462
3,0.8532,0.6282,0.6282
4,0.8748,0.6538,0.6615
5,0.8547,0.6026,0.6256
6,0.8544,0.6154,0.5769
7,0.8022,0.5641,0.541
8,0.7806,0.5641,0.5641
9,0.7518,0.5256,0.5141
10,0.7057,0.5,0.4942
11,0.7059,0.4744,0.4763
12,0.6619,0.4744,0.4532
13,0.6024,0.4872,0.4737
14,0.5526,0.4872,0.4968
15,0.5607,0.4615,0.4558
16,0.5048,0.4872,0.4506
17,0.4692,0.4615,0.4519
18,0.3842,0.4487,0.4449
19,0.3579,0.4872,0.4968
20,0.3663,0.5641,0.5391
21,0.2726,0.5513,0.5186
22,0.2832,0.5385,0.5327
23,0.2176,0.5256,0.5353
24,0.2584,0.5128,0.5263
25,0.2505,0.4487,0.4314
26,0.3898,0.5256,0.5006
27,0.3533,0.4487,0.4179
28,0.3079,0.4872,0.4833
29,0.2127,0.5256,0.5256
30,0.2652,0.5641,0.5756
31,0.2337,0.5128,0.4763
32,0.1924,0.5385,0.5462
33,0.2159,0.5128,0.5282
34,0.2336,0.5,0.4788
35,0.2812,0.5256,0.5603
36,0.156,0.5128,0.5282
37,0.1784,0.5,0.5058
38,0.1097,0.5,0.4923
39,0.192,0.5128,0.5051
