epoch,train_loss,valid_auroc,valid_composite
1,0.9069,0.6282,0.6436
2,0.877,0.641,0.6256
3,0.8415,0.6538,0.6462
4,0.8521,0.6795,0.6795
5,0.8261,0.641,0.6179
6,0.8248,0.6154,0.5769
7,0.7666,0.5641,0.541
8,0.7203,0.5128,0.4917
9,0.7027,0.5256,0.4891
10,0.6574,0.4744,0.4647
11,0.6403,0.4231,0.4173
12,0.5807,0.4487,0.4353
13,0.5214,0.4744,0.4763
14,0.4595,0.4615,0.4673
15,0.4722,0.4487,0.4237
16,0.3827,0.4615,0.4558
17,0.3776,0.4359,0.4609
18,0.3058,0.4744,0.4763
19,0.3037,0.4744,0.4744
20,0.3513,0.5513,0.5436
21,0.2903,0.5256,0.4987
22,0.2735,0.4615,0.4423
23,0.1766,0.5,0.4923
24,0.2043,0.5256,0.5103
25,0.2002,0.5,0.4942
26,0.208,0.5128,0.5147
27,0.1921,0.4615,0.4654
28,0.2356,0.5128,0.5147
29,0.1216,0.5256,0.5237
30,0.1554,0.4872,0.4968
31,0.1395,0.4872,0.4968
32,0.1131,0.5256,0.5237
33,0.1121,0.5128,0.5128
34,0.119,0.5,0.5038
35,0.1657,0.5385,0.5442
36,0.081,0.5,0.4808
37,0.0757,0.4744,0.4744
38,0.072,0.4487,0.4679
39,0.0959,0.5256,0.5237
