epoch,train_loss,valid_loss,valid_auroc,valid_composite
1,0.1963,0.1785,0.6333,0.6183
2,0.1956,0.1612,0.7222,0.7122
3,0.1808,0.1639,0.7222,0.7056
4,0.1795,0.1617,0.7444,0.6778
5,0.1847,0.1726,0.6778,0.6494
6,0.1829,0.1788,0.6111,0.5878
7,0.1865,0.1813,0.6222,0.6239
8,0.1899,0.1793,0.6111,0.6344
9,0.1795,0.1965,0.5667,0.5733
10,0.1703,0.1876,0.6556,0.6356
11,0.1722,0.1933,0.5111,0.5028
12,0.164,0.187,0.5556,0.5322
13,0.1888,0.1855,0.6,0.5783
14,0.1763,0.1772,0.6556,0.6306
15,0.1832,0.1795,0.6111,0.5861
16,0.1721,0.2047,0.5778,0.5494
17,0.189,0.2125,0.5222,0.5272
18,0.1769,0.198,0.5778,0.5961
19,0.1586,0.2371,0.5444,0.5278
20,0.1621,0.2337,0.5222,0.5272
