epoch,train_loss,valid_loss,valid_auroc,valid_composite
1,0.1948,0.1574,0.6667,0.6318
2,0.1732,0.1523,0.7374,0.7253
3,0.1797,0.1633,0.6465,0.6177
4,0.1682,0.151,0.7374,0.7283
5,0.1657,0.1458,0.7576,0.7227
6,0.1805,0.1527,0.7677,0.7525
7,0.1638,0.1489,0.7374,0.701
8,0.1863,0.1497,0.7273,0.6818
9,0.1962,0.1425,0.7879,0.7606
10,0.1663,0.1642,0.6061,0.6061
11,0.1736,0.1565,0.6768,0.6495
12,0.1634,0.1517,0.7273,0.7121
13,0.1558,0.153,0.7273,0.7348
14,0.1663,0.1496,0.7677,0.7359
15,0.1799,0.1512,0.7273,0.7045
16,0.1623,0.1588,0.6768,0.6495
17,0.1663,0.1598,0.6566,0.6323
18,0.1689,0.1643,0.6263,0.5808
19,0.1737,0.163,0.6162,0.6071
20,0.1734,0.1511,0.7172,0.6778
21,0.154,0.1608,0.6667,0.6455
22,0.1736,0.1557,0.6869,0.6899
23,0.1637,0.1588,0.6465,0.648
24,0.1542,0.1573,0.6667,0.6788
25,0.15,0.1494,0.7374,0.7086
26,0.1459,0.1466,0.7273,0.7182
27,0.1756,0.1554,0.7172,0.7278
