epoch,train_loss,valid_loss,valid_auroc,valid_composite
1,0.2405,0.2567,0.4231,0.4692
2,0.2645,0.2635,0.3974,0.3397
3,0.2432,0.2315,0.8205,0.6359
4,0.249,0.2202,0.6795,0.6237
5,0.2289,0.2094,0.6538,0.6615
6,0.2551,0.2008,0.7179,0.7199
7,0.2323,0.2361,0.7692,0.6
8,0.2297,0.222,0.8333,0.6449
9,0.2283,0.2204,0.859,0.6628
10,0.2413,0.2233,0.8205,0.6359
11,0.2625,0.2325,0.6026,0.5949
12,0.2428,0.2263,0.641,0.6333
13,0.2368,0.2324,0.4615,0.4558
14,0.2279,0.2295,0.6026,0.591
15,0.2279,0.2216,0.6026,0.616
16,0.219,0.2326,0.4487,0.4487
17,0.2253,0.2466,0.4744,0.4917
18,0.2231,0.2298,0.6538,0.6404
19,0.2155,0.2297,0.5897,0.5955
20,0.2237,0.2367,0.6667,0.5032
21,0.2144,0.2269,0.7051,0.6532
22,0.217,0.2124,0.7564,0.7006
23,0.2223,0.23,0.7051,0.6647
24,0.2499,0.2097,0.7051,0.6763
