stage,target,model,Test_AUROC,Test_AUPRC,Test_F1,Test_BA
Step05_Radiomics,target_er,Elastic Net (Strong),0.6031746031746033,0.5732735518449804,0.2222222222222222,0.5158730158730158
Step05_Radiomics,target_pr,Elastic Net (Sparse),0.6181818181818183,0.5657142857142856,0.0,0.5
Step05_Radiomics,target_her2,Elastic Net (Strong),0.5,0.570501258001258,0.4,0.4791666666666666
Step07_MIL,target_er,AttentionMIL,0.5555555555555555,0.6577380952380952,0.5714285714285714,0.6190476190476191
Step07_MIL,target_her2,AttentionMIL,0.6111111111111112,0.7443139649022001,0.6363636363636364,0.5138888888888888
Step07_MIL,target_pr,GatedAttentionMIL,0.7454545454545455,0.6766233766233767,0.4444444444444444,0.6090909090909091
Step08_CNN,target_er,efficientnet_b0,0.5714285714285714,0.5238095238095238,0.4,0.5873015873015872
Step08_CNN,target_pr,efficientnet_b0,0.4727272727272727,0.3297619047619047,0.4,0.4818181818181818
Step08_CNN,target_her2,efficientnet_b0,0.5416666666666666,0.6945987654320989,0.5555555555555556,0.5277777777777778
Step09_Selected,target_er,image_only,0.5238095238095238,0.5529238618524333,0.5333333333333333,0.5634920634920635
Step09_Selected,target_pr,hybrid_fusion,0.5272727272727272,0.3930555555555555,0.2222222222222222,0.4636363636363636
Step09_Selected,target_her2,image_only,0.5,0.5581587620803308,0.4285714285714285,0.5416666666666666
