epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,hybrid_fusion,0.7431,0.7462,0.4667,0.4883,0
2,hybrid_fusion,0.6986,0.7644,0.4889,0.5056,0
3,hybrid_fusion,0.6819,0.7607,0.4444,0.4361,0
4,hybrid_fusion,0.646,0.7777,0.4556,0.4739,0
5,hybrid_fusion,0.6431,0.9494,0.5556,0.4239,0
6,hybrid_fusion,0.6786,0.775,0.5556,0.5456,0
7,hybrid_fusion,0.6468,0.7794,0.6111,0.6344,0
8,hybrid_fusion,0.5409,0.8299,0.5667,0.59,0
9,hybrid_fusion,0.4552,0.8335,0.5444,0.5694,0
10,hybrid_fusion,0.4767,0.931,0.5667,0.575,0
11,hybrid_fusion,0.307,1.0514,0.5222,0.4889,0
12,hybrid_fusion,0.3726,1.2208,0.5444,0.5378,0
13,hybrid_fusion,0.3216,1.3147,0.5222,0.4889,0
14,hybrid_fusion,0.2908,1.4834,0.4667,0.505,0
15,hybrid_fusion,0.2487,1.2852,0.5111,0.4994,0
16,hybrid_fusion,0.1703,1.5631,0.4778,0.4811,0
17,hybrid_fusion,0.1799,1.665,0.5333,0.5467,0
18,hybrid_fusion,0.1357,1.6723,0.4889,0.4989,0
19,hybrid_fusion,0.092,1.8143,0.5,0.5083,0
20,hybrid_fusion,0.1338,2.1038,0.5667,0.52,0
21,hybrid_fusion,0.1003,2.1939,0.5444,0.5044,0
22,hybrid_fusion,0.082,2.4147,0.5222,0.5572,0
23,hybrid_fusion,0.0509,2.5399,0.5222,0.5056,0
24,hybrid_fusion,0.11,2.4715,0.5111,0.5311,0
25,hybrid_fusion,0.0529,2.382,0.5444,0.5378,0
26,hybrid_fusion,0.0303,2.346,0.5667,0.57,0
27,hybrid_fusion,0.0256,2.3504,0.5556,0.5456,0
28,hybrid_fusion,0.0169,2.3944,0.4889,0.4989,0
29,hybrid_fusion,0.0165,2.7046,0.5667,0.5517,0
30,hybrid_fusion,0.0103,2.8022,0.4778,0.4778,0
31,hybrid_fusion,0.0098,2.9127,0.5667,0.5533,0
32,hybrid_fusion,0.0037,3.0035,0.5667,0.57,0
33,hybrid_fusion,0.0044,3.5851,0.5556,0.5122,0
34,hybrid_fusion,0.006,3.3313,0.5111,0.5161,0
35,hybrid_fusion,0.002,3.3898,0.4889,0.5006,0
36,hybrid_fusion,0.0013,3.4187,0.5111,0.5144,0
37,hybrid_fusion,0.0055,3.3363,0.5889,0.5689,0
38,hybrid_fusion,0.0033,3.2305,0.6111,0.5844,0
39,hybrid_fusion,0.0011,3.1887,0.6222,0.5922,0
40,hybrid_fusion,0.0084,3.0525,0.5889,0.5689,0
41,hybrid_fusion,0.0011,3.0316,0.6,0.5767,0
42,hybrid_fusion,0.0022,3.1446,0.5778,0.5778,0
