epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,image_only,0.723,0.7457,0.4111,0.3228,0
2,image_only,0.7148,0.7286,0.5556,0.5489,0
3,image_only,0.706,0.7569,0.6222,0.4856,0
4,image_only,0.658,0.7782,0.5667,0.4317,0
5,image_only,0.6289,0.7561,0.5556,0.5689,0
6,image_only,0.715,0.7201,0.5556,0.5322,0
7,image_only,0.5787,0.7887,0.4333,0.4167,0
8,image_only,0.5517,0.8522,0.4667,0.48,0
9,image_only,0.578,0.795,0.5778,0.5661,0
10,image_only,0.5057,0.8241,0.5222,0.5222,0
11,image_only,0.3536,0.8638,0.5222,0.5239,0
12,image_only,0.3163,0.9185,0.5333,0.5617,0
13,image_only,0.4376,0.8683,0.6222,0.6422,0
14,image_only,0.3753,0.8869,0.6111,0.5978,0
15,image_only,0.2765,0.9037,0.6667,0.675,0
16,image_only,0.1826,1.0933,0.6,0.5933,0
17,image_only,0.2941,1.4539,0.6111,0.5911,0
18,image_only,0.2373,1.2066,0.5889,0.5839,0
19,image_only,0.2636,1.1831,0.6444,0.6594,0
20,image_only,0.2088,1.3814,0.6111,0.6361,0
21,image_only,0.1726,1.2748,0.6222,0.6439,0
22,image_only,0.1073,1.3539,0.6444,0.6594,0
23,image_only,0.1808,1.3093,0.6667,0.69,0
24,image_only,0.1779,1.266,0.6444,0.6561,0
25,image_only,0.056,1.3521,0.6444,0.6544,0
26,image_only,0.1114,1.5711,0.6889,0.6756,0
27,image_only,0.1241,1.5383,0.6667,0.6733,0
28,image_only,0.0398,1.6231,0.6333,0.62,0
29,image_only,0.0711,1.5649,0.6333,0.6333,0
30,image_only,0.0609,1.9676,0.6444,0.6594,0
31,image_only,0.0394,1.749,0.6556,0.6656,0
32,image_only,0.0209,1.5741,0.6778,0.6644,0
33,image_only,0.0141,1.8025,0.6778,0.6678,0
34,image_only,0.0154,1.7601,0.6778,0.6644,0
35,image_only,0.0278,1.9362,0.6778,0.6811,0
36,image_only,0.0263,1.9124,0.6667,0.6733,0
37,image_only,0.0075,1.9994,0.6667,0.6567,0
38,image_only,0.0087,2.0732,0.6778,0.6644,0
39,image_only,0.0033,2.1115,0.6778,0.6811,0
40,image_only,0.0057,2.0631,0.6778,0.6811,0
41,image_only,0.0136,2.0517,0.6889,0.6889,0
42,image_only,0.0089,2.0479,0.6778,0.6811,0
43,image_only,0.0041,2.1082,0.6556,0.6656,0
44,image_only,0.0022,2.1466,0.6667,0.6567,0
45,image_only,0.0036,2.2237,0.6667,0.6733,0
46,image_only,0.0026,2.1978,0.6667,0.6733,0
47,image_only,0.0028,2.1207,0.6667,0.6733,0
48,image_only,0.0014,2.1703,0.6667,0.6733,0
49,image_only,0.0013,2.1877,0.6667,0.6733,0
50,image_only,0.0163,2.218,0.6778,0.6811,0
51,image_only,0.0066,2.2216,0.6778,0.6794,0
52,image_only,0.0017,2.2117,0.6667,0.6883,0
53,image_only,0.0028,2.3396,0.6778,0.6811,0
54,image_only,0.0019,2.4734,0.6778,0.6661,0
55,image_only,0.0007,2.3982,0.6778,0.6811,0
56,image_only,0.0009,2.3951,0.6889,0.6889,0
57,image_only,0.0017,2.4327,0.6889,0.6889,0
58,image_only,0.0033,2.4685,0.6778,0.6811,0
