epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,radiomics_only,0.7288,0.7063,0.6889,0.6506,0
2,radiomics_only,0.7145,0.7088,0.6444,0.5894,0
3,radiomics_only,0.7141,0.7105,0.6333,0.5983,0
4,radiomics_only,0.7215,0.7146,0.6333,0.635,0
5,radiomics_only,0.7173,0.7284,0.6,0.5833,0
6,radiomics_only,0.7204,0.7254,0.5667,0.5567,0
7,radiomics_only,0.6818,0.7259,0.5444,0.5344,0
8,radiomics_only,0.6953,0.7464,0.4778,0.4894,0
9,radiomics_only,0.6969,0.7508,0.4778,0.4444,0
10,radiomics_only,0.671,0.7529,0.4778,0.4428,0
11,radiomics_only,0.6938,0.7582,0.5111,0.4828,0
12,radiomics_only,0.6776,0.7795,0.5222,0.5056,0
13,radiomics_only,0.602,0.7796,0.5222,0.5089,0
14,radiomics_only,0.5468,0.8175,0.5444,0.5394,0
15,radiomics_only,0.5808,0.8627,0.6,0.58,0
16,radiomics_only,0.5471,0.9537,0.5444,0.5528,0
17,radiomics_only,0.5925,1.004,0.5444,0.5278,0
18,radiomics_only,0.5858,0.897,0.5778,0.5944,0
19,radiomics_only,0.5067,0.988,0.6,0.5983,0
20,radiomics_only,0.6045,0.9389,0.5778,0.5628,0
21,radiomics_only,0.4833,1.0757,0.5444,0.5428,0
22,radiomics_only,0.4865,1.1439,0.5667,0.5833,0
23,radiomics_only,0.4745,1.1532,0.5222,0.5422,0
24,radiomics_only,0.4519,1.0919,0.5333,0.53,0
25,radiomics_only,0.4897,1.0619,0.5889,0.5856,0
26,radiomics_only,0.4154,0.9976,0.6,0.61,0
27,radiomics_only,0.4919,1.151,0.6444,0.6378,0
28,radiomics_only,0.5308,1.0495,0.6,0.6283,0
29,radiomics_only,0.357,1.0768,0.6,0.6433,0
30,radiomics_only,0.4555,1.1594,0.5333,0.4967,0
31,radiomics_only,0.4364,1.0968,0.5222,0.5239,0
32,radiomics_only,0.3526,1.3846,0.5444,0.5428,0
33,radiomics_only,0.353,1.2552,0.5111,0.5311,0
34,radiomics_only,0.3723,1.3027,0.5778,0.5644,0
35,radiomics_only,0.3174,1.2347,0.6111,0.5844,0
36,radiomics_only,0.264,1.4625,0.5667,0.57,0
