epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,hybrid_fusion,0.6876,0.6734,0.5556,0.5465,0
2,hybrid_fusion,0.6621,0.6646,0.6263,0.4884,0
3,hybrid_fusion,0.6746,0.6501,0.6869,0.6535,0
4,hybrid_fusion,0.652,0.6602,0.6768,0.6343,0
5,hybrid_fusion,0.6353,0.6451,0.6667,0.6394,0
6,hybrid_fusion,0.6334,0.6272,0.6768,0.6828,0
7,hybrid_fusion,0.5615,0.6996,0.5859,0.6116,0
8,hybrid_fusion,0.4791,0.6563,0.6768,0.6692,0
9,hybrid_fusion,0.5173,0.6369,0.7273,0.7348,0
10,hybrid_fusion,0.4545,0.648,0.697,0.697,0
11,hybrid_fusion,0.4717,0.7139,0.6263,0.6611,0
12,hybrid_fusion,0.3142,0.7714,0.6364,0.6348,0
13,hybrid_fusion,0.3345,0.8081,0.6263,0.6202,0
14,hybrid_fusion,0.2471,1.1312,0.6263,0.6081,0
15,hybrid_fusion,0.1918,0.9526,0.6263,0.6035,0
16,hybrid_fusion,0.1845,1.2047,0.6566,0.6323,0
17,hybrid_fusion,0.2032,1.157,0.6263,0.6278,0
18,hybrid_fusion,0.1779,1.4392,0.6263,0.6141,0
19,hybrid_fusion,0.0756,1.7647,0.6162,0.5904,0
20,hybrid_fusion,0.133,1.6779,0.596,0.5929,0
21,hybrid_fusion,0.0956,1.7266,0.5859,0.5859,0
22,hybrid_fusion,0.0728,1.7963,0.6263,0.5975,0
23,hybrid_fusion,0.0358,1.6929,0.596,0.5929,0
24,hybrid_fusion,0.0335,1.818,0.596,0.5929,0
25,hybrid_fusion,0.014,2.0913,0.5859,0.5692,0
26,hybrid_fusion,0.0298,2.069,0.6061,0.6,0
27,hybrid_fusion,0.0114,2.1823,0.6061,0.6,0
28,hybrid_fusion,0.0325,2.0443,0.6263,0.6141,0
29,hybrid_fusion,0.0042,2.6785,0.6465,0.5783,0
30,hybrid_fusion,0.0143,2.6107,0.6364,0.6045,0
31,hybrid_fusion,0.0174,2.7934,0.6061,0.6,0
32,hybrid_fusion,0.0031,2.969,0.5808,0.5823,0
33,hybrid_fusion,0.0029,3.1697,0.5556,0.5646,0
34,hybrid_fusion,0.0065,3.1888,0.5909,0.5894,0
35,hybrid_fusion,0.0015,3.2034,0.6061,0.6,0
36,hybrid_fusion,0.0019,3.4332,0.5556,0.5646,0
37,hybrid_fusion,0.008,3.4448,0.5354,0.5505,0
38,hybrid_fusion,0.004,3.049,0.5455,0.5576,0
39,hybrid_fusion,0.0072,2.86,0.5556,0.551,0
40,hybrid_fusion,0.002,2.7651,0.5758,0.5682,0
41,hybrid_fusion,0.0033,3.8635,0.5253,0.5101,0
42,hybrid_fusion,0.0063,3.7369,0.5152,0.5197,0
43,hybrid_fusion,0.0014,3.1999,0.5354,0.5505,0
44,hybrid_fusion,0.0025,3.0893,0.5354,0.5505,0
