epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,image_only,0.6854,0.6887,0.4141,0.3399,0
2,image_only,0.7045,0.6719,0.5859,0.4601,0
3,image_only,0.6527,0.6733,0.6465,0.5025,0
4,image_only,0.6484,0.66,0.6162,0.6025,0
5,image_only,0.6201,0.6449,0.6869,0.6202,0
6,image_only,0.6403,0.6552,0.6667,0.6682,0
7,image_only,0.5942,0.6409,0.6869,0.7232,0
8,image_only,0.577,0.6233,0.697,0.6773,0
9,image_only,0.5437,0.6114,0.7374,0.7056,0
10,image_only,0.4946,0.612,0.7273,0.7348,0
11,image_only,0.4827,0.6399,0.7273,0.6985,0
12,image_only,0.3454,0.7183,0.6869,0.7035,0
13,image_only,0.3971,0.8025,0.7273,0.6818,0
14,image_only,0.4414,0.7086,0.7374,0.7056,0
15,image_only,0.324,0.6162,0.7475,0.746,0
16,image_only,0.3844,0.5707,0.7475,0.7793,0
17,image_only,0.3537,0.5958,0.7475,0.7626,0
18,image_only,0.3912,0.6621,0.7475,0.7793,0
19,image_only,0.3134,0.8282,0.7576,0.7,0
20,image_only,0.2538,0.774,0.7576,0.7197,0
21,image_only,0.158,0.7732,0.7677,0.7434,0
22,image_only,0.2079,0.7761,0.7576,0.7864,0
23,image_only,0.0975,0.8055,0.7778,0.7838,0
24,image_only,0.1304,0.7881,0.798,0.798,0
25,image_only,0.0971,1.238,0.8182,0.7424,0
26,image_only,0.1544,0.849,0.798,0.8146,0
27,image_only,0.1091,0.8573,0.7879,0.7909,0
28,image_only,0.1066,0.8485,0.798,0.7813,0
29,image_only,0.0556,1.0018,0.7879,0.7712,0
30,image_only,0.0368,1.1191,0.7374,0.7586,0
31,image_only,0.0201,1.2667,0.7071,0.7374,0
32,image_only,0.0881,1.1668,0.7475,0.7657,0
33,image_only,0.0128,1.2335,0.7576,0.753,0
34,image_only,0.0781,1.2155,0.7677,0.7768,0
35,image_only,0.1015,1.2213,0.7576,0.7561,0
36,image_only,0.0341,1.2583,0.7778,0.7808,0
37,image_only,0.0287,1.2235,0.7778,0.7672,0
38,image_only,0.0211,1.2923,0.7778,0.7672,0
39,image_only,0.02,1.2998,0.7576,0.7561,0
40,image_only,0.0263,1.5148,0.7778,0.7475,0
41,image_only,0.0134,1.3521,0.7879,0.7742,0
42,image_only,0.0064,1.3601,0.7879,0.7742,0
43,image_only,0.0049,1.402,0.7879,0.7742,0
44,image_only,0.0155,1.504,0.7778,0.7672,0
45,image_only,0.0228,1.4501,0.7879,0.7742,0
46,image_only,0.0058,1.4741,0.7879,0.7742,0
47,image_only,0.0035,1.5358,0.7778,0.7672,0
48,image_only,0.0058,1.5515,0.7778,0.7505,0
49,image_only,0.0077,1.4787,0.7778,0.7838,0
50,image_only,0.0036,1.4729,0.7677,0.7768,0
51,image_only,0.0033,1.4642,0.7778,0.7838,0
52,image_only,0.0029,1.4529,0.7778,0.7838,0
53,image_only,0.0045,1.4873,0.7778,0.7838,0
54,image_only,0.0031,1.4928,0.7778,0.7838,0
55,image_only,0.0034,1.4746,0.7778,0.7672,0
56,image_only,0.0014,1.4977,0.7778,0.7672,0
57,image_only,0.0068,1.5382,0.7778,0.7672,0
58,image_only,0.0017,1.506,0.7879,0.7742,0
59,image_only,0.0023,1.5271,0.7879,0.7742,0
60,image_only,0.0089,1.513,0.7879,0.7742,0
61,image_only,0.003,1.4901,0.7879,0.7742,0
