epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,radiomics_only,0.6628,0.6597,0.5455,0.5742,0
2,radiomics_only,0.6534,0.6643,0.5354,0.5505,0
3,radiomics_only,0.6558,0.6676,0.5455,0.5576,0
4,radiomics_only,0.6419,0.6503,0.6061,0.6167,0
5,radiomics_only,0.6267,0.6517,0.596,0.6096,0
6,radiomics_only,0.5849,0.6758,0.5859,0.6025,0
7,radiomics_only,0.6016,0.661,0.6162,0.6237,0
8,radiomics_only,0.6489,0.6842,0.6061,0.6167,0
9,radiomics_only,0.6022,0.6971,0.6061,0.6167,0
10,radiomics_only,0.5999,0.7033,0.5758,0.5955,0
11,radiomics_only,0.5838,0.7258,0.5758,0.5788,0
12,radiomics_only,0.5581,0.7044,0.5758,0.5955,0
13,radiomics_only,0.5848,0.7294,0.5657,0.5717,0
14,radiomics_only,0.5424,0.751,0.5859,0.6025,0
15,radiomics_only,0.4794,0.828,0.5556,0.5646,0
16,radiomics_only,0.4868,0.916,0.5455,0.5409,0
17,radiomics_only,0.4103,0.9546,0.4848,0.5152,0
18,radiomics_only,0.5328,0.985,0.5051,0.5187,0
19,radiomics_only,0.4965,0.9839,0.5253,0.5268,0
20,radiomics_only,0.4006,0.9985,0.5051,0.546,0
21,radiomics_only,0.4519,1.1176,0.5354,0.5293,0
22,radiomics_only,0.4635,1.0885,0.4545,0.4803,0
23,radiomics_only,0.4049,1.2223,0.404,0.4419,0
24,radiomics_only,0.4799,1.1531,0.4646,0.4843,0
25,radiomics_only,0.4132,1.0728,0.5051,0.5126,0
26,radiomics_only,0.3869,1.2157,0.4949,0.5192,0
27,radiomics_only,0.3979,1.2519,0.4444,0.4702,0
28,radiomics_only,0.2859,1.3728,0.5051,0.4854,0
29,radiomics_only,0.2468,1.5564,0.4949,0.4919,0
30,radiomics_only,0.4123,1.5527,0.4949,0.5253,0
31,radiomics_only,0.3436,1.5552,0.5051,0.5157,0
32,radiomics_only,0.3305,1.4435,0.5051,0.499,0
33,radiomics_only,0.2973,1.4936,0.5051,0.5157,0
34,radiomics_only,0.2727,1.4105,0.5455,0.5439,0
35,radiomics_only,0.2138,1.5442,0.5354,0.5338,0
36,radiomics_only,0.3277,1.6514,0.5354,0.5338,0
37,radiomics_only,0.2332,1.5556,0.5758,0.5818,0
38,radiomics_only,0.33,1.3654,0.6061,0.603,0
39,radiomics_only,0.3242,1.2971,0.596,0.5596,0
40,radiomics_only,0.1881,1.3539,0.596,0.5929,0
41,radiomics_only,0.2222,1.3845,0.5859,0.6025,0
42,radiomics_only,0.3052,1.4605,0.5657,0.5414,0
