epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,hybrid_fusion,1.0161,0.9757,0.359,0.3013,0
2,hybrid_fusion,0.8884,1.0364,0.5128,0.409,0
3,hybrid_fusion,0.8755,1.0272,0.5769,0.4038,0
4,hybrid_fusion,0.8135,1.0582,0.5513,0.3859,0
5,hybrid_fusion,0.7113,1.2395,0.5641,0.3949,0
6,hybrid_fusion,0.681,1.0509,0.5256,0.5141,0
7,hybrid_fusion,0.6979,0.9575,0.5,0.5519,0
8,hybrid_fusion,0.6479,1.4243,0.5641,0.5179,0
9,hybrid_fusion,0.633,1.0433,0.5,0.5404,0
10,hybrid_fusion,0.4531,1.3387,0.5513,0.5186,0
11,hybrid_fusion,0.4557,1.198,0.5385,0.5654,0
12,hybrid_fusion,0.3267,1.5844,0.6154,0.5885,0
13,hybrid_fusion,0.2633,1.4167,0.5769,0.5942,0
14,hybrid_fusion,0.2409,1.5918,0.5641,0.5853,0
15,hybrid_fusion,0.1537,1.9681,0.5769,0.6173,0
16,hybrid_fusion,0.1099,2.4671,0.5897,0.559,0
17,hybrid_fusion,0.0781,2.1604,0.5897,0.5917,0
18,hybrid_fusion,0.1212,2.4758,0.6026,0.6006,0
19,hybrid_fusion,0.0304,2.8234,0.6026,0.6006,0
20,hybrid_fusion,0.0975,3.4261,0.5897,0.5821,0
21,hybrid_fusion,0.0282,3.8108,0.5128,0.5282,0
22,hybrid_fusion,0.0562,3.0456,0.5385,0.5673,0
23,hybrid_fusion,0.0511,2.7508,0.6026,0.6122,0
24,hybrid_fusion,0.0236,2.8418,0.5897,0.6032,0
25,hybrid_fusion,0.0093,3.7591,0.6154,0.6231,0
26,hybrid_fusion,0.0076,3.8964,0.5769,0.5827,0
27,hybrid_fusion,0.0127,3.9815,0.6026,0.5891,0
28,hybrid_fusion,0.0084,3.2441,0.6154,0.6096,0
29,hybrid_fusion,0.0369,3.1204,0.641,0.6641,0
30,hybrid_fusion,0.0159,3.0615,0.641,0.6641,0
31,hybrid_fusion,0.017,2.9301,0.6795,0.7026,0
32,hybrid_fusion,0.007,3.4745,0.6667,0.6359,0
33,hybrid_fusion,0.0029,2.9614,0.6538,0.6615,0
34,hybrid_fusion,0.0121,3.9285,0.6154,0.6,0
35,hybrid_fusion,0.0025,3.7883,0.6154,0.6,0
36,hybrid_fusion,0.0027,4.0902,0.5897,0.6013,0
37,hybrid_fusion,0.005,3.4781,0.5897,0.5782,0
38,hybrid_fusion,0.0007,3.7056,0.641,0.641,0
39,hybrid_fusion,0.0001,3.9376,0.641,0.641,0
40,hybrid_fusion,0.0017,3.7941,0.641,0.641,0
41,hybrid_fusion,0.002,3.5844,0.641,0.641,0
42,hybrid_fusion,0.0009,3.4623,0.6538,0.6481,0
43,hybrid_fusion,0.0005,3.4931,0.6538,0.6481,0
44,hybrid_fusion,0.0129,3.7206,0.6538,0.6731,0
45,hybrid_fusion,0.0028,3.9151,0.6346,0.6596,0
46,hybrid_fusion,0.0008,4.2861,0.6346,0.6365,0
47,hybrid_fusion,0.0132,3.8124,0.6282,0.6551,0
48,hybrid_fusion,0.0009,3.769,0.6282,0.6551,0
49,hybrid_fusion,0.0009,4.0626,0.6282,0.6321,0
50,hybrid_fusion,0.0004,4.19,0.6346,0.6365,0
51,hybrid_fusion,0.0017,3.8106,0.6282,0.6436,0
52,hybrid_fusion,0.0003,3.7176,0.6282,0.6417,0
53,hybrid_fusion,0.0004,3.7826,0.641,0.6506,0
54,hybrid_fusion,0.0004,3.7699,0.641,0.6506,0
55,hybrid_fusion,0.0005,3.7864,0.6474,0.6551,0
56,hybrid_fusion,0.0003,3.8236,0.6474,0.6551,0
57,hybrid_fusion,0.0002,3.8556,0.6474,0.6551,0
58,hybrid_fusion,0.0002,3.8833,0.6474,0.6551,0
59,hybrid_fusion,0.0007,3.8472,0.641,0.6506,0
60,hybrid_fusion,0.0003,3.8479,0.6282,0.6186,0
61,hybrid_fusion,0.0004,3.8544,0.6282,0.6186,0
62,hybrid_fusion,0.0007,3.928,0.6474,0.6551,0
63,hybrid_fusion,0.0002,3.9481,0.641,0.6506,0
64,hybrid_fusion,0.0008,3.9579,0.641,0.6506,0
65,hybrid_fusion,0.0002,3.9922,0.641,0.6506,0
66,hybrid_fusion,0.0002,4.0023,0.641,0.6506,0
