epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,image_only,0.9532,1.1079,0.2692,0.2385,0
2,image_only,0.9035,1.0112,0.3974,0.2782,0
3,image_only,0.8745,1.0669,0.3974,0.3032,0
4,image_only,0.786,1.1252,0.4487,0.3256,0
5,image_only,0.7937,1.209,0.3718,0.3949,0
6,image_only,0.6525,1.319,0.359,0.3724,0
7,image_only,0.6804,1.4342,0.359,0.3724,0
8,image_only,0.6665,1.4571,0.3846,0.4038,0
9,image_only,0.7329,1.3677,0.3974,0.3994,0
10,image_only,0.523,1.5513,0.4231,0.4423,0
11,image_only,0.5068,1.663,0.4231,0.4173,0
12,image_only,0.399,2.0,0.4359,0.4263,0
13,image_only,0.3375,2.411,0.4359,0.4263,0
14,image_only,0.3789,2.1944,0.4487,0.4583,0
15,image_only,0.247,2.5943,0.4615,0.4673,0
16,image_only,0.3116,2.6506,0.4744,0.4763,0
17,image_only,0.1753,2.8315,0.3974,0.434,0
18,image_only,0.1864,2.943,0.4103,0.4545,0
19,image_only,0.1685,4.0869,0.4231,0.4173,0
20,image_only,0.1859,3.4655,0.4487,0.4699,0
21,image_only,0.1431,3.495,0.4487,0.4814,0
22,image_only,0.1184,3.4937,0.4615,0.4788,0
23,image_only,0.0781,4.028,0.4615,0.4654,0
24,image_only,0.1897,4.2323,0.4231,0.4269,0
25,image_only,0.0633,4.115,0.4744,0.5013,0
26,image_only,0.0434,4.0001,0.5128,0.5397,0
27,image_only,0.055,4.0694,0.5128,0.5397,0
28,image_only,0.0216,3.8846,0.4872,0.5333,0
29,image_only,0.0698,4.6699,0.4872,0.5218,0
30,image_only,0.0426,4.9801,0.4487,0.4699,0
31,image_only,0.0184,4.8561,0.4487,0.4699,0
32,image_only,0.0019,5.2781,0.4615,0.4788,0
33,image_only,0.0016,5.4036,0.4615,0.4788,0
34,image_only,0.0082,5.0423,0.4359,0.4724,0
35,image_only,0.0055,5.0933,0.4615,0.4788,0
36,image_only,0.0047,5.2802,0.4872,0.4968,0
37,image_only,0.0041,5.2271,0.4744,0.5128,0
38,image_only,0.0156,4.9916,0.4872,0.5218,0
39,image_only,0.0022,5.0994,0.5256,0.5487,0
40,image_only,0.0011,5.1772,0.5256,0.5487,0
41,image_only,0.0215,4.9262,0.5385,0.5692,0
42,image_only,0.009,5.0151,0.5256,0.5487,0
43,image_only,0.0049,5.5643,0.5,0.5308,0
44,image_only,0.0026,5.1505,0.4872,0.4968,0
45,image_only,0.0017,5.1972,0.4744,0.4878,0
46,image_only,0.0056,5.4572,0.4615,0.5038,0
47,image_only,0.005,5.5133,0.4744,0.5128,0
48,image_only,0.0093,5.0852,0.4872,0.5083,0
49,image_only,0.0048,4.9479,0.4744,0.5244,0
50,image_only,0.0011,5.1322,0.4744,0.5244,0
51,image_only,0.0011,5.3206,0.4744,0.5128,0
52,image_only,0.0009,5.3698,0.4744,0.5128,0
53,image_only,0.0009,5.3271,0.4744,0.5244,0
54,image_only,0.0012,5.2895,0.4744,0.5244,0
55,image_only,0.0015,5.5896,0.4872,0.5218,0
56,image_only,0.0006,5.7757,0.4744,0.5128,0
57,image_only,0.0011,5.8095,0.4744,0.5128,0
58,image_only,0.0006,5.7972,0.4744,0.5128,0
59,image_only,0.001,5.7006,0.4872,0.5218,0
60,image_only,0.0009,5.613,0.4872,0.5218,0
61,image_only,0.0033,5.6661,0.4872,0.5218,0
62,image_only,0.0003,5.7973,0.4872,0.5218,0
63,image_only,0.0005,5.8295,0.4872,0.5218,0
64,image_only,0.0021,5.9278,0.4744,0.5128,0
65,image_only,0.0016,5.8653,0.4744,0.5128,0
66,image_only,0.0017,5.8504,0.4872,0.5218,0
67,image_only,0.0009,5.8869,0.4872,0.5218,0
68,image_only,0.0003,5.9034,0.4744,0.5128,0
69,image_only,0.0008,5.9262,0.4744,0.5128,0
70,image_only,0.0009,5.8557,0.4744,0.5128,0
71,image_only,0.0009,5.8637,0.4744,0.5128,0
72,image_only,0.0002,5.8847,0.4744,0.5128,0
73,image_only,0.0003,5.8861,0.4744,0.5128,0
74,image_only,0.0005,5.8855,0.4744,0.5128,0
75,image_only,0.0003,5.8902,0.4872,0.5218,0
76,image_only,0.0002,5.8983,0.4872,0.5218,0
