epoch,variant,train_loss,valid_loss,valid_auroc,valid_composite,skipped_nonfinite_batches
1,radiomics_only,0.998,0.9286,0.6667,0.5167,0
2,radiomics_only,0.9349,0.9761,0.6282,0.4897,0
3,radiomics_only,0.889,1.0391,0.641,0.4987,0
4,radiomics_only,0.8833,0.9934,0.6795,0.5256,0
5,radiomics_only,0.8269,1.0013,0.6667,0.5282,0
6,radiomics_only,0.903,0.9014,0.6667,0.6128,0
7,radiomics_only,0.7932,1.1136,0.6282,0.5744,0
8,radiomics_only,0.7636,1.1286,0.5897,0.559,0
9,radiomics_only,0.7753,0.9529,0.5256,0.5372,0
10,radiomics_only,0.8561,1.0408,0.4744,0.4532,0
11,radiomics_only,0.7558,1.3162,0.5128,0.4801,0
12,radiomics_only,0.768,1.2514,0.5256,0.4891,0
13,radiomics_only,0.6982,1.1048,0.4872,0.4737,0
14,radiomics_only,0.6098,1.1945,0.4744,0.4763,0
15,radiomics_only,0.4964,1.6404,0.4615,0.4442,0
16,radiomics_only,0.5841,1.5904,0.4744,0.4647,0
17,radiomics_only,0.5212,1.739,0.4744,0.4532,0
18,radiomics_only,0.444,2.0818,0.4615,0.4327,0
19,radiomics_only,0.5785,1.7572,0.4359,0.4494,0
20,radiomics_only,0.3981,1.6433,0.5256,0.5237,0
21,radiomics_only,0.4671,1.6625,0.5256,0.5256,0
22,radiomics_only,0.3784,1.9242,0.5385,0.5327,0
23,radiomics_only,0.3849,2.0583,0.5,0.5192,0
24,radiomics_only,0.4891,2.0846,0.5385,0.5442,0
25,radiomics_only,0.3412,2.1438,0.5256,0.5487,0
26,radiomics_only,0.4771,2.6588,0.5256,0.4987,0
27,radiomics_only,0.5129,2.241,0.5641,0.5506,0
28,radiomics_only,0.4877,2.0336,0.5641,0.5372,0
29,radiomics_only,0.3351,2.1645,0.5641,0.5506,0
30,radiomics_only,0.2767,2.021,0.6026,0.5891,0
31,radiomics_only,0.3431,2.2959,0.5128,0.5147,0
32,radiomics_only,0.185,2.6653,0.5897,0.5686,0
33,radiomics_only,0.4347,2.7238,0.5128,0.5032,0
34,radiomics_only,0.5301,2.9779,0.4872,0.4872,0
35,radiomics_only,0.319,2.7481,0.5513,0.5301,0
36,radiomics_only,0.1126,2.5182,0.6282,0.6205,0
37,radiomics_only,0.1878,2.5266,0.6282,0.6071,0
38,radiomics_only,0.1237,2.5717,0.641,0.6276,0
39,radiomics_only,0.1785,2.9609,0.5769,0.5712,0
40,radiomics_only,0.2022,3.1849,0.5641,0.5372,0
41,radiomics_only,0.2665,3.1881,0.641,0.6391,0
42,radiomics_only,0.3518,3.6118,0.6538,0.6481,0
43,radiomics_only,0.4842,3.119,0.6154,0.5731,0
44,radiomics_only,0.2249,3.4834,0.5,0.5058,0
45,radiomics_only,0.1466,3.7165,0.5897,0.5917,0
46,radiomics_only,0.1629,3.7318,0.5897,0.5917,0
47,radiomics_only,0.231,3.6207,0.5641,0.5622,0
48,radiomics_only,0.1203,3.8186,0.5513,0.5282,0
49,radiomics_only,0.1896,3.8605,0.5641,0.5506,0
50,radiomics_only,0.1681,3.8272,0.5769,0.5596,0
51,radiomics_only,0.1868,4.0045,0.5385,0.5077,0
52,radiomics_only,0.2663,3.7605,0.5897,0.5686,0
53,radiomics_only,0.2521,3.6681,0.5641,0.5622,0
54,radiomics_only,0.0691,3.9648,0.5513,0.5282,0
55,radiomics_only,0.0213,4.027,0.5897,0.5801,0
56,radiomics_only,0.1589,4.2794,0.5513,0.5532,0
57,radiomics_only,0.0131,4.4518,0.5385,0.5077,0
58,radiomics_only,0.31,4.82,0.5385,0.5192,0
59,radiomics_only,0.0568,5.0752,0.5385,0.5192,0
60,radiomics_only,0.3876,4.8081,0.5385,0.5192,0
61,radiomics_only,0.1315,4.0278,0.6026,0.5891,0
62,radiomics_only,0.1142,4.2858,0.5897,0.5801,0
63,radiomics_only,0.0971,4.6483,0.5769,0.5462,0
64,radiomics_only,0.0818,4.6254,0.6026,0.5891,0
65,radiomics_only,0.0387,4.7434,0.6026,0.5891,0
66,radiomics_only,0.03,4.7816,0.5769,0.5712,0
67,radiomics_only,0.0957,4.7603,0.5641,0.5622,0
68,radiomics_only,0.2974,5.3685,0.5385,0.5192,0
69,radiomics_only,0.1654,5.7142,0.5385,0.5308,0
70,radiomics_only,0.0769,5.397,0.5385,0.5308,0
71,radiomics_only,0.1249,4.8407,0.5769,0.5462,0
72,radiomics_only,0.1382,4.7988,0.5897,0.5801,0
73,radiomics_only,0.2994,4.8049,0.5897,0.5801,0
74,radiomics_only,0.0513,5.1069,0.5769,0.5577,0
75,radiomics_only,0.1383,5.433,0.5769,0.5577,0
76,radiomics_only,0.1367,5.1932,0.5897,0.5667,0
77,radiomics_only,0.0986,5.2938,0.5897,0.5667,0
