bcbm_feature,match_key,openbtai_feature,matched
patient_original_firstorder_10percentile_cv,original_firstorder_10percentile_cv,,False
patient_original_firstorder_10percentile_iqr,original_firstorder_10percentile_iqr,,False
patient_original_firstorder_10percentile_max,original_firstorder_10percentile_max,ext_original_firstorder_10Percentile_max,True
patient_original_firstorder_10percentile_mean,original_firstorder_10percentile_mean,ext_original_firstorder_10Percentile_mean,True
patient_original_firstorder_10percentile_min,original_firstorder_10percentile_min,ext_original_firstorder_10Percentile_min,True
patient_original_firstorder_10percentile_std,original_firstorder_10percentile_std,ext_original_firstorder_10Percentile_std,True
patient_original_firstorder_90percentile_cv,original_firstorder_90percentile_cv,,False
patient_original_firstorder_90percentile_iqr,original_firstorder_90percentile_iqr,,False
patient_original_firstorder_90percentile_max,original_firstorder_90percentile_max,ext_original_firstorder_90Percentile_max,True
patient_original_firstorder_90percentile_mean,original_firstorder_90percentile_mean,ext_original_firstorder_90Percentile_mean,True
patient_original_firstorder_90percentile_min,original_firstorder_90percentile_min,ext_original_firstorder_90Percentile_min,True
patient_original_firstorder_90percentile_std,original_firstorder_90percentile_std,ext_original_firstorder_90Percentile_std,True
patient_original_firstorder_energy_cv,original_firstorder_energy_cv,,False
patient_original_firstorder_energy_iqr,original_firstorder_energy_iqr,,False
patient_original_firstorder_energy_max,original_firstorder_energy_max,ext_original_firstorder_Energy_max,True
patient_original_firstorder_energy_mean,original_firstorder_energy_mean,ext_original_firstorder_Energy_mean,True
patient_original_firstorder_energy_min,original_firstorder_energy_min,ext_original_firstorder_Energy_min,True
patient_original_firstorder_energy_std,original_firstorder_energy_std,ext_original_firstorder_Energy_std,True
patient_original_firstorder_entropy_cv,original_firstorder_entropy_cv,,False
patient_original_firstorder_entropy_iqr,original_firstorder_entropy_iqr,,False
patient_original_firstorder_entropy_max,original_firstorder_entropy_max,ext_original_firstorder_Entropy_max,True
patient_original_firstorder_entropy_mean,original_firstorder_entropy_mean,ext_original_firstorder_Entropy_mean,True
patient_original_firstorder_entropy_min,original_firstorder_entropy_min,ext_original_firstorder_Entropy_min,True
patient_original_firstorder_entropy_std,original_firstorder_entropy_std,ext_original_firstorder_Entropy_std,True
patient_original_firstorder_interquartilerange_cv,original_firstorder_interquartilerange_cv,,False
patient_original_firstorder_interquartilerange_iqr,original_firstorder_interquartilerange_iqr,,False
patient_original_firstorder_interquartilerange_max,original_firstorder_interquartilerange_max,ext_original_firstorder_InterquartileRange_max,True
patient_original_firstorder_interquartilerange_mean,original_firstorder_interquartilerange_mean,ext_original_firstorder_InterquartileRange_mean,True
patient_original_firstorder_interquartilerange_min,original_firstorder_interquartilerange_min,ext_original_firstorder_InterquartileRange_min,True
patient_original_firstorder_interquartilerange_std,original_firstorder_interquartilerange_std,ext_original_firstorder_InterquartileRange_std,True
patient_original_firstorder_kurtosis_cv,original_firstorder_kurtosis_cv,,False
patient_original_firstorder_kurtosis_iqr,original_firstorder_kurtosis_iqr,,False
patient_original_firstorder_kurtosis_max,original_firstorder_kurtosis_max,ext_original_firstorder_Kurtosis_max,True
patient_original_firstorder_kurtosis_mean,original_firstorder_kurtosis_mean,ext_original_firstorder_Kurtosis_mean,True
patient_original_firstorder_kurtosis_min,original_firstorder_kurtosis_min,ext_original_firstorder_Kurtosis_min,True
patient_original_firstorder_kurtosis_std,original_firstorder_kurtosis_std,ext_original_firstorder_Kurtosis_std,True
patient_original_firstorder_maximum_cv,original_firstorder_maximum_cv,,False
patient_original_firstorder_maximum_iqr,original_firstorder_maximum_iqr,,False
patient_original_firstorder_maximum_max,original_firstorder_maximum_max,ext_original_firstorder_Maximum_max,True
patient_original_firstorder_maximum_mean,original_firstorder_maximum_mean,ext_original_firstorder_Maximum_mean,True
patient_original_firstorder_maximum_min,original_firstorder_maximum_min,ext_original_firstorder_Maximum_min,True
patient_original_firstorder_maximum_std,original_firstorder_maximum_std,ext_original_firstorder_Maximum_std,True
patient_original_firstorder_mean_cv,original_firstorder_mean_cv,,False
patient_original_firstorder_mean_iqr,original_firstorder_mean_iqr,,False
patient_original_firstorder_mean_max,original_firstorder_mean_max,ext_original_firstorder_Mean_max,True
patient_original_firstorder_mean_mean,original_firstorder_mean_mean,ext_original_firstorder_Mean_mean,True
patient_original_firstorder_mean_min,original_firstorder_mean_min,ext_original_firstorder_Mean_min,True
patient_original_firstorder_mean_std,original_firstorder_mean_std,ext_original_firstorder_Mean_std,True
patient_original_firstorder_meanabsolutedeviation_cv,original_firstorder_meanabsolutedeviation_cv,,False
patient_original_firstorder_meanabsolutedeviation_iqr,original_firstorder_meanabsolutedeviation_iqr,,False
patient_original_firstorder_meanabsolutedeviation_max,original_firstorder_meanabsolutedeviation_max,ext_original_firstorder_MeanAbsoluteDeviation_max,True
patient_original_firstorder_meanabsolutedeviation_mean,original_firstorder_meanabsolutedeviation_mean,ext_original_firstorder_MeanAbsoluteDeviation_mean,True
patient_original_firstorder_meanabsolutedeviation_min,original_firstorder_meanabsolutedeviation_min,ext_original_firstorder_MeanAbsoluteDeviation_min,True
patient_original_firstorder_meanabsolutedeviation_std,original_firstorder_meanabsolutedeviation_std,ext_original_firstorder_MeanAbsoluteDeviation_std,True
patient_original_firstorder_median_cv,original_firstorder_median_cv,,False
patient_original_firstorder_median_iqr,original_firstorder_median_iqr,,False
patient_original_firstorder_median_max,original_firstorder_median_max,ext_original_firstorder_Median_max,True
patient_original_firstorder_median_mean,original_firstorder_median_mean,ext_original_firstorder_Median_mean,True
patient_original_firstorder_median_min,original_firstorder_median_min,ext_original_firstorder_Median_min,True
patient_original_firstorder_median_std,original_firstorder_median_std,ext_original_firstorder_Median_std,True
patient_original_firstorder_minimum_cv,original_firstorder_minimum_cv,,False
patient_original_firstorder_minimum_iqr,original_firstorder_minimum_iqr,,False
patient_original_firstorder_minimum_max,original_firstorder_minimum_max,ext_original_firstorder_Minimum_max,True
patient_original_firstorder_minimum_mean,original_firstorder_minimum_mean,ext_original_firstorder_Minimum_mean,True
patient_original_firstorder_minimum_min,original_firstorder_minimum_min,ext_original_firstorder_Minimum_min,True
patient_original_firstorder_minimum_std,original_firstorder_minimum_std,ext_original_firstorder_Minimum_std,True
patient_original_firstorder_range_cv,original_firstorder_range_cv,,False
patient_original_firstorder_range_iqr,original_firstorder_range_iqr,,False
patient_original_firstorder_range_max,original_firstorder_range_max,ext_original_firstorder_Range_max,True
patient_original_firstorder_range_mean,original_firstorder_range_mean,ext_original_firstorder_Range_mean,True
patient_original_firstorder_range_min,original_firstorder_range_min,ext_original_firstorder_Range_min,True
patient_original_firstorder_range_std,original_firstorder_range_std,ext_original_firstorder_Range_std,True
patient_original_firstorder_robustmeanabsolutedeviation_cv,original_firstorder_robustmeanabsolutedeviation_cv,,False
patient_original_firstorder_robustmeanabsolutedeviation_iqr,original_firstorder_robustmeanabsolutedeviation_iqr,,False
patient_original_firstorder_robustmeanabsolutedeviation_max,original_firstorder_robustmeanabsolutedeviation_max,ext_original_firstorder_RobustMeanAbsoluteDeviation_max,True
patient_original_firstorder_robustmeanabsolutedeviation_mean,original_firstorder_robustmeanabsolutedeviation_mean,ext_original_firstorder_RobustMeanAbsoluteDeviation_mean,True
patient_original_firstorder_robustmeanabsolutedeviation_min,original_firstorder_robustmeanabsolutedeviation_min,ext_original_firstorder_RobustMeanAbsoluteDeviation_min,True
patient_original_firstorder_robustmeanabsolutedeviation_std,original_firstorder_robustmeanabsolutedeviation_std,ext_original_firstorder_RobustMeanAbsoluteDeviation_std,True
patient_original_firstorder_rootmeansquared_cv,original_firstorder_rootmeansquared_cv,,False
patient_original_firstorder_rootmeansquared_iqr,original_firstorder_rootmeansquared_iqr,,False
patient_original_firstorder_rootmeansquared_max,original_firstorder_rootmeansquared_max,ext_original_firstorder_RootMeanSquared_max,True
patient_original_firstorder_rootmeansquared_mean,original_firstorder_rootmeansquared_mean,ext_original_firstorder_RootMeanSquared_mean,True
patient_original_firstorder_rootmeansquared_min,original_firstorder_rootmeansquared_min,ext_original_firstorder_RootMeanSquared_min,True
patient_original_firstorder_rootmeansquared_std,original_firstorder_rootmeansquared_std,ext_original_firstorder_RootMeanSquared_std,True
patient_original_firstorder_skewness_cv,original_firstorder_skewness_cv,,False
patient_original_firstorder_skewness_iqr,original_firstorder_skewness_iqr,,False
patient_original_firstorder_skewness_max,original_firstorder_skewness_max,ext_original_firstorder_Skewness_max,True
patient_original_firstorder_skewness_mean,original_firstorder_skewness_mean,ext_original_firstorder_Skewness_mean,True
patient_original_firstorder_skewness_min,original_firstorder_skewness_min,ext_original_firstorder_Skewness_min,True
patient_original_firstorder_skewness_std,original_firstorder_skewness_std,ext_original_firstorder_Skewness_std,True
patient_original_firstorder_totalenergy_cv,original_firstorder_totalenergy_cv,,False
patient_original_firstorder_totalenergy_iqr,original_firstorder_totalenergy_iqr,,False
patient_original_firstorder_totalenergy_max,original_firstorder_totalenergy_max,ext_original_firstorder_TotalEnergy_max,True
patient_original_firstorder_totalenergy_mean,original_firstorder_totalenergy_mean,ext_original_firstorder_TotalEnergy_mean,True
patient_original_firstorder_totalenergy_min,original_firstorder_totalenergy_min,ext_original_firstorder_TotalEnergy_min,True
patient_original_firstorder_totalenergy_std,original_firstorder_totalenergy_std,ext_original_firstorder_TotalEnergy_std,True
patient_original_firstorder_uniformity_cv,original_firstorder_uniformity_cv,,False
patient_original_firstorder_uniformity_iqr,original_firstorder_uniformity_iqr,,False
patient_original_firstorder_uniformity_max,original_firstorder_uniformity_max,ext_original_firstorder_Uniformity_max,True
patient_original_firstorder_uniformity_mean,original_firstorder_uniformity_mean,ext_original_firstorder_Uniformity_mean,True
patient_original_firstorder_uniformity_min,original_firstorder_uniformity_min,ext_original_firstorder_Uniformity_min,True
patient_original_firstorder_uniformity_std,original_firstorder_uniformity_std,ext_original_firstorder_Uniformity_std,True
patient_original_firstorder_variance_cv,original_firstorder_variance_cv,,False
patient_original_firstorder_variance_iqr,original_firstorder_variance_iqr,,False
patient_original_firstorder_variance_max,original_firstorder_variance_max,ext_original_firstorder_Variance_max,True
patient_original_firstorder_variance_mean,original_firstorder_variance_mean,ext_original_firstorder_Variance_mean,True
patient_original_firstorder_variance_min,original_firstorder_variance_min,ext_original_firstorder_Variance_min,True
patient_original_firstorder_variance_std,original_firstorder_variance_std,ext_original_firstorder_Variance_std,True
patient_original_glcm_autocorrelation_cv,original_glcm_autocorrelation_cv,,False
patient_original_glcm_autocorrelation_iqr,original_glcm_autocorrelation_iqr,,False
patient_original_glcm_autocorrelation_max,original_glcm_autocorrelation_max,ext_original_glcm_Autocorrelation_max,True
patient_original_glcm_autocorrelation_mean,original_glcm_autocorrelation_mean,ext_original_glcm_Autocorrelation_mean,True
patient_original_glcm_autocorrelation_min,original_glcm_autocorrelation_min,ext_original_glcm_Autocorrelation_min,True
patient_original_glcm_autocorrelation_std,original_glcm_autocorrelation_std,ext_original_glcm_Autocorrelation_std,True
patient_original_glcm_clusterprominence_cv,original_glcm_clusterprominence_cv,,False
patient_original_glcm_clusterprominence_iqr,original_glcm_clusterprominence_iqr,,False
patient_original_glcm_clusterprominence_max,original_glcm_clusterprominence_max,ext_original_glcm_ClusterProminence_max,True
patient_original_glcm_clusterprominence_mean,original_glcm_clusterprominence_mean,ext_original_glcm_ClusterProminence_mean,True
patient_original_glcm_clusterprominence_min,original_glcm_clusterprominence_min,ext_original_glcm_ClusterProminence_min,True
patient_original_glcm_clusterprominence_std,original_glcm_clusterprominence_std,ext_original_glcm_ClusterProminence_std,True
patient_original_glcm_clustershade_cv,original_glcm_clustershade_cv,,False
patient_original_glcm_clustershade_iqr,original_glcm_clustershade_iqr,,False
patient_original_glcm_clustershade_max,original_glcm_clustershade_max,ext_original_glcm_ClusterShade_max,True
patient_original_glcm_clustershade_mean,original_glcm_clustershade_mean,ext_original_glcm_ClusterShade_mean,True
patient_original_glcm_clustershade_min,original_glcm_clustershade_min,ext_original_glcm_ClusterShade_min,True
patient_original_glcm_clustershade_std,original_glcm_clustershade_std,ext_original_glcm_ClusterShade_std,True
patient_original_glcm_clustertendency_cv,original_glcm_clustertendency_cv,,False
patient_original_glcm_clustertendency_iqr,original_glcm_clustertendency_iqr,,False
patient_original_glcm_clustertendency_max,original_glcm_clustertendency_max,ext_original_glcm_ClusterTendency_max,True
patient_original_glcm_clustertendency_mean,original_glcm_clustertendency_mean,ext_original_glcm_ClusterTendency_mean,True
patient_original_glcm_clustertendency_min,original_glcm_clustertendency_min,ext_original_glcm_ClusterTendency_min,True
patient_original_glcm_clustertendency_std,original_glcm_clustertendency_std,ext_original_glcm_ClusterTendency_std,True
patient_original_glcm_contrast_cv,original_glcm_contrast_cv,,False
patient_original_glcm_contrast_iqr,original_glcm_contrast_iqr,,False
patient_original_glcm_contrast_max,original_glcm_contrast_max,ext_original_glcm_Contrast_max,True
patient_original_glcm_contrast_mean,original_glcm_contrast_mean,ext_original_glcm_Contrast_mean,True
patient_original_glcm_contrast_min,original_glcm_contrast_min,ext_original_glcm_Contrast_min,True
patient_original_glcm_contrast_std,original_glcm_contrast_std,ext_original_glcm_Contrast_std,True
patient_original_glcm_correlation_cv,original_glcm_correlation_cv,,False
patient_original_glcm_correlation_iqr,original_glcm_correlation_iqr,,False
patient_original_glcm_correlation_max,original_glcm_correlation_max,ext_original_glcm_Correlation_max,True
patient_original_glcm_correlation_mean,original_glcm_correlation_mean,ext_original_glcm_Correlation_mean,True
patient_original_glcm_correlation_min,original_glcm_correlation_min,ext_original_glcm_Correlation_min,True
patient_original_glcm_correlation_std,original_glcm_correlation_std,ext_original_glcm_Correlation_std,True
patient_original_glcm_differenceaverage_cv,original_glcm_differenceaverage_cv,,False
patient_original_glcm_differenceaverage_iqr,original_glcm_differenceaverage_iqr,,False
patient_original_glcm_differenceaverage_max,original_glcm_differenceaverage_max,ext_original_glcm_DifferenceAverage_max,True
patient_original_glcm_differenceaverage_mean,original_glcm_differenceaverage_mean,ext_original_glcm_DifferenceAverage_mean,True
patient_original_glcm_differenceaverage_min,original_glcm_differenceaverage_min,ext_original_glcm_DifferenceAverage_min,True
patient_original_glcm_differenceaverage_std,original_glcm_differenceaverage_std,ext_original_glcm_DifferenceAverage_std,True
patient_original_glcm_differenceentropy_cv,original_glcm_differenceentropy_cv,,False
patient_original_glcm_differenceentropy_iqr,original_glcm_differenceentropy_iqr,,False
patient_original_glcm_differenceentropy_max,original_glcm_differenceentropy_max,ext_original_glcm_DifferenceEntropy_max,True
patient_original_glcm_differenceentropy_mean,original_glcm_differenceentropy_mean,ext_original_glcm_DifferenceEntropy_mean,True
patient_original_glcm_differenceentropy_min,original_glcm_differenceentropy_min,ext_original_glcm_DifferenceEntropy_min,True
patient_original_glcm_differenceentropy_std,original_glcm_differenceentropy_std,ext_original_glcm_DifferenceEntropy_std,True
patient_original_glcm_differencevariance_cv,original_glcm_differencevariance_cv,,False
