target,target_display,model,combat_mode,n_trainval,n_test,n_features,threshold,AUROC,AUPRC,feature_set_variant,AUROC_CI95_lower,AUROC_CI95_upper,bootstrap_n_valid
target_er,ER,pls_logistic,none,119,16,642,0.5121955807036913,0.6031746031746033,0.5507413221698936,radiomics_pure,0.2909090909090909,0.8833333333333333,3000
target_er,ER,pls_logistic,simple_combat,119,16,642,0.4889449246880705,0.4761904761904762,0.5247776033490319,radiomics_pure,0.1717447916666667,0.7857142857142857,3000
target_er,ER,pls_logistic,eb_combat,119,16,642,0.38946780024807254,0.7301587301587302,0.7384877027734171,radiomics_pure,0.43636363636363634,0.9583333333333334,3000
target_er,ER,pls_logistic,none,119,16,742,0.6194805081193957,0.4285714285714286,0.440702947845805,all_features,0.13333333333333333,0.7291666666666666,3000
target_er,ER,pls_logistic,simple_combat,119,16,742,0.6016834462512755,0.3968253968253968,0.5221219256933542,all_features,0.0714285714285714,0.7333333333333333,3000
target_er,ER,pls_logistic,eb_combat,119,16,742,0.3635556242338286,0.7619047619047619,0.75139146567718,all_features,0.4908158508158508,0.9682539682539683,3000
target_pr,PR,elastic_net_sparse,none,116,16,642,0.5051954005694608,0.7454545454545454,0.7569230769230768,radiomics_pure,0.375,1.0,2993
target_pr,PR,elastic_net_sparse,simple_combat,116,16,642,0.4972749743817803,0.6181818181818183,0.5657142857142856,radiomics_pure,0.25,0.9535714285714275,2993
target_pr,PR,elastic_net_sparse,eb_combat,116,16,642,0.5,0.5,0.3125,radiomics_pure,0.5,0.5,2993
target_pr,PR,elastic_net_sparse,none,116,16,742,0.5018094052831357,0.6181818181818182,0.47748917748917746,all_features,0.28205128205128205,0.9285714285714285,2993
target_pr,PR,elastic_net_sparse,simple_combat,116,16,742,0.4972749743817803,0.6181818181818183,0.5657142857142856,all_features,0.25,0.9535714285714275,2993
target_pr,PR,elastic_net_sparse,eb_combat,116,16,742,0.5,0.5,0.3125,all_features,0.5,0.5,2993
target_her2,HER2,pls_logistic,none,115,17,642,0.4096051263403232,0.48611111111111105,0.5643284184950852,radiomics_pure,0.18055555555555558,0.7777777777777778,3000
target_her2,HER2,pls_logistic,simple_combat,115,17,642,0.3430960468963785,0.5,0.6201224701224701,radiomics_pure,0.19035714285714292,0.7916666666666666,3000
target_her2,HER2,pls_logistic,eb_combat,115,17,642,0.35023686065893445,0.4722222222222222,0.5972829639496307,radiomics_pure,0.16642857142857148,0.7692857142857145,3000
target_her2,HER2,pls_logistic,none,115,17,742,0.543755184590197,0.4722222222222222,0.609011359011359,all_features,0.1537878787878788,0.7777777777777778,3000
target_her2,HER2,pls_logistic,simple_combat,115,17,742,0.5703590550069885,0.5,0.6190001356668022,all_features,0.18181818181818182,0.787878787878788,3000
target_her2,HER2,pls_logistic,eb_combat,115,17,742,0.5865788106233322,0.4722222222222222,0.5972829639496307,all_features,0.16642857142857148,0.7692857142857145,3000
