target,fraction,n_train_effective,n_train_nominal,auroc_mean,auroc_std,n_folds,n_folds_failed
target_er,0.3,29,29,0.4981507381507382,0.11125141915970524,25,0
target_er,0.45,43,43,0.5239160839160839,0.12176002036841958,25,0
target_er,0.6,57,57,0.5055254467754468,0.14730689528905352,25,0
target_er,0.75,71,71,0.5009226884226884,0.09998544338255397,25,0
target_er,0.9,85,86,0.4902816627816628,0.13245493177791695,25,0
target_er,1.0,95,95,0.49716006216006214,0.14633308471007772,25,0
target_pr,0.3,28,28,0.49902083333333336,0.11961575126791993,25,0
target_pr,0.45,41,42,0.4807291666666667,0.1413760039015344,25,0
target_pr,0.6,56,56,0.49860416666666674,0.12952836789783842,25,0
target_pr,0.75,70,70,0.49143749999999997,0.1505042940740304,25,0
target_pr,0.9,84,84,0.4115833333333333,0.13351430426903496,25,0
target_pr,1.0,93,93,0.4299583333333333,0.1334052638006545,25,0
target_her2,0.3,27,28,0.5233333333333333,0.11354380068507859,25,0
target_her2,0.45,42,41,0.5271212121212122,0.13571258724262886,25,0
target_her2,0.6,55,55,0.5681818181818181,0.11887906209656382,25,0
target_her2,0.75,69,69,0.5518181818181818,0.15093342872992924,25,0
target_her2,0.9,83,83,0.5563636363636363,0.11537219683118152,25,0
target_her2,1.0,92,92,0.5557575757575757,0.09893556538139865,25,0
