dataset,n,n_features,prevalence,honest_cv_auc,single_split_median,single_split_p95,single_split_sd,optimism_gap_p95_minus_honest,leaky_cv_auc,leakage_inflation
Ahn2021,114,108,0.553,0.3813,0.4115,0.5462,0.109,0.1649,0.5023,0.1211
Arita2018,168,300,0.661,0.7317,0.7443,0.853,0.0772,0.1214,0.7446,0.0129
BraTS-2021,400,300,0.505,0.6001,0.6022,0.6726,0.0462,0.0725,0.6363,0.0362
Brancato2023,58,300,0.603,0.7821,0.7714,0.9429,0.1246,0.1607,0.8,0.0179
C4KC-KiTS,70,300,0.657,0.5841,0.5778,0.8456,0.1535,0.2615,0.6332,0.0491
Colorectal-Liver-Metastases,90,300,0.844,0.5838,0.5444,0.7778,0.1374,0.1939,0.7472,0.1633
Dai2023,119,300,0.261,0.6203,0.6111,0.8523,0.1586,0.232,0.7826,0.1623
Deng2023,261,225,0.36,0.7053,0.7059,0.8143,0.0592,0.109,0.8258,0.1206
Dong2022,279,300,0.487,0.6082,0.6226,0.7344,0.0716,0.1262,0.6717,0.0635
Fusco2022,54,192,0.611,0.5518,0.5714,0.8589,0.1611,0.3071,0.7287,0.1769
Granata2021,88,300,0.466,0.5885,0.6,0.8125,0.1176,0.224,0.6886,0.1002
Granata2024,51,300,0.745,0.6028,0.5833,0.875,0.1904,0.2722,0.7632,0.1603
HCC-TACE-Seg,84,300,0.143,0.5116,0.5,0.835,0.2119,0.3234,0.5729,0.0613
HNSCC,93,105,0.269,0.7607,0.7571,0.8857,0.0811,0.125,0.8065,0.0458
Head-Neck-PET-CT,91,210,0.67,0.7103,0.7372,0.9365,0.1026,0.2263,0.8219,0.1116
Head-Neck-Radiomics-HN1,137,105,0.445,0.7264,0.7188,0.8336,0.0797,0.1072,0.7649,0.0385
Hosny2018A,293,300,0.543,0.5927,0.6024,0.6959,0.0697,0.1033,0.5689,-0.0237
Hosny2018B,207,300,0.29,0.5795,0.5903,0.7613,0.1023,0.1818,0.6808,0.1014
