feature,ks,p,smd,p_fdr
original_firstorder_RootMeanSquared,0.984,1.0717226576947188e-111,-0.8642,1.146743243733349e-109
original_firstorder_Mean,0.9823,4.72091554158567e-109,-0.8675,2.5256898147483333e-107
original_firstorder_10Percentile,0.9784,1.0366452750047687e-103,-0.8883,3.697368147517009e-102
original_firstorder_90Percentile,0.9768,1.0125266906684398e-101,-0.849,2.708508897538077e-100
original_firstorder_Median,0.9768,1.0125266906684398e-101,-0.8654,2.1668071180304613e-100
original_firstorder_Maximum,0.9336,1.8918735313696872e-73,-0.8131,3.373841130942609e-72
original_firstorder_Minimum,0.9181,8.253799634454232e-68,-0.8577,1.261652229838004e-66
original_firstorder_MeanAbsoluteDeviation,0.7947,1.8612479461183433e-42,-0.7517,2.489419127933284e-41
original_firstorder_RobustMeanAbsoluteDeviation,0.7865,2.6837637671188117e-41,-0.7538,3.190696923130143e-40
original_firstorder_Variance,0.7853,3.8577160347809217e-41,-0.5094,4.127756157215586e-40
original_firstorder_InterquartileRange,0.7804,1.8256976307461289e-40,-0.7472,1.7759058771803254e-39
original_firstorder_Range,0.636,7.075992287002786e-25,-0.6672,6.309426455910817e-24
original_firstorder_Energy,0.453,4.328648550711023e-12,-0.1875,3.5628107302006114e-11
original_firstorder_TotalEnergy,0.453,4.328648550711023e-12,-0.1875,3.308324249471996e-11
original_glcm_Idm,0.3821,1.1897231866342395e-08,0.6535,8.486692064657575e-08
original_glcm_SumSquares,0.3776,1.8858022587942003e-08,-0.7542,1.2611302605686214e-07
original_gldm_GrayLevelVariance,0.3666,5.4363678336777355e-08,-0.8131,3.4217138717853983e-07
original_gldm_DependenceVariance,0.3643,6.967135679492031e-08,0.5289,4.141575098364708e-07
original_glcm_Id,0.3616,8.971266973745173e-08,0.6907,5.052239822056492e-07
original_glszm_LargeAreaEmphasis,0.3594,1.0810818329431982e-07,0.1207,5.78378780624611e-07
original_glrlm_GrayLevelVariance,0.3593,1.1130831212291525e-07,-0.818,5.671423522453301e-07
original_glszm_ZoneVariance,0.3577,1.2618659850360814e-07,0.1208,6.137257290857305e-07
original_glrlm_RunLengthNonUniformityNormalized,0.3577,1.298876537436655e-07,-0.6032,6.042599543727047e-07
original_shape_SurfaceVolumeRatio,0.3572,1.3403731924377382e-07,-0.7359,5.975830482951583e-07
original_glszm_GrayLevelVariance,0.356,1.514360273846549e-07,-0.8078,6.481461972063229e-07
